order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
B;2i24s-0-trial2;23;male;compositor;440.67;496.37;770.74;91.81;762.81;641.75;521.47;495.64;997.58;502.34;1670857726429;1670857726423;1670857711734
B;2i24s-0-trial2;23;male;compositor;438.67;496.26;770.74;91.81;762.81;641.75;521.47;495.64;997.58;502.34;1670857726435;1670857726432;1670857711738
B;2i24s-0-trial2;23;male;compositor;434.23;495.96;770.74;91.81;762.81;641.75;521.47;495.64;997.58;502.34;1670857726441;1670857726443;1670857711746
B;2i24s-0-trial2;23;male;compositor;434.78;496.12;782.05;91.61;750.25;640.69;516.15;485.36;991.03;512.26;1670857726446;1670857726443;1670857711754
B;2i24s-0-trial2;23;male;compositor;435.08;496.39;782.05;91.61;750.25;640.69;516.15;485.36;991.03;512.26;1670857726454;1670857726453;1670857711758
B;2i24s-0-trial2;23;male;compositor;437.00;497.61;782.05;91.61;750.25;640.69;516.15;485.36;991.03;512.26;1670857726455;1670857726453;1670857711762
B;2i24s-0-trial2;23;male;compositor;443.14;504.00;793.34;91.96;737.77;639.15;511.33;474.90;984.10;521.91;1670857726467;1670857726463;1670857711774
B;2i24s-0-trial2;23;male;compositor;444.53;506.08;793.34;91.96;737.77;639.15;511.33;474.90;984.10;521.91;1670857726467;1670857726470;1670857711778
B;2i24s-0-trial2;23;male;compositor;444.70;508.75;804.80;92.88;725.16;637.08;506.95;464.08;976.66;531.46;1670857726478;1670857726472;1670857711782
B;2i24s-0-trial2;23;male;compositor;444.74;510.79;804.80;92.88;725.16;637.08;506.95;464.08;976.66;531.46;1670857726478;1670857726472;1670857711786
B;2i24s-0-trial2;23;male;compositor;444.93;510.01;804.80;92.88;725.16;637.08;506.95;464.08;976.66;531.46;1670857726485;1670857726483;1670857711794
B;2i24s-0-trial2;23;male;compositor;445.09;509.56;804.80;92.88;725.16;637.08;506.95;464.08;976.66;531.46;1670857726490;1670857726492;1670857711798
B;2i24s-0-trial2;23;male;compositor;445.73;509.21;827.39;96.36;700.49;631.52;499.87;442.16;960.79;549.53;1670857726511;1670857726513;1670857711802
B;2i24s-0-trial2;23;male;compositor;445.75;507.72;827.39;96.36;700.49;631.52;499.87;442.16;960.79;549.53;1670857726524;1670857726523;1670857711834
B;2i24s-0-trial2;23;male;compositor;445.69;507.43;838.49;98.90;688.44;628.04;497.14;431.09;952.39;558.04;1670857726528;1670857726523;1670857711838
