order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
B;3i24s-240-trial3;23;female;NO;513.60;473.60;776.15;91.64;756.80;641.30;518.86;490.74;994.49;507.12;1668631315015;1668631315011;1668620516676
B;3i24s-240-trial3;23;female;NO;513.12;472.69;776.15;91.64;756.80;641.30;518.86;490.74;994.49;507.12;1668631315018;1668631315011;1668620516680
B;3i24s-240-trial3;23;female;NO;511.73;470.97;787.46;91.71;744.26;640.01;513.78;480.37;987.76;516.91;1668631315023;1668631315021;1668620516684
B;3i24s-240-trial3;23;female;NO;513.62;473.29;787.46;91.71;744.26;640.01;513.78;480.37;987.76;516.91;1668631315031;1668631315021;1668620516688
B;3i24s-240-trial3;23;female;NO;511.58;473.56;787.46;91.71;744.26;640.01;513.78;480.37;987.76;516.91;1668631315032;1668631315031;1668620516696
B;3i24s-240-trial3;23;female;NO;511.13;473.54;787.46;91.71;744.26;640.01;513.78;480.37;987.76;516.91;1668631315038;1668631315031;1668620516700
B;3i24s-240-trial3;23;female;NO;511.23;473.53;798.82;92.33;731.73;638.22;509.17;469.75;980.59;526.51;1668631315045;1668631315042;1668620516704
B;3i24s-240-trial3;23;female;NO;511.19;473.45;798.82;92.33;731.73;638.22;509.17;469.75;980.59;526.51;1668631315052;1668631315042;1668620516708
B;3i24s-240-trial3;23;female;NO;515.15;474.01;798.82;92.33;731.73;638.22;509.17;469.75;980.59;526.51;1668631315053;1668631315051;1668620516716
B;3i24s-240-trial3;23;female;NO;513.82;474.73;810.14;93.50;719.30;635.94;505.09;458.96;973.05;535.82;1668631315058;1668631315051;1668620516720
B;3i24s-240-trial3;23;female;NO;514.03;475.83;821.39;95.21;707.01;633.19;501.55;448.06;965.17;544.83;1668631315073;1668631315061;1668620516724
B;3i24s-240-trial3;23;female;NO;517.02;479.14;821.39;95.21;707.01;633.19;501.55;448.06;965.17;544.83;1668631315075;1668631315071;1668620516736
B;3i24s-240-trial3;23;female;NO;518.73;477.96;821.39;95.21;707.01;633.19;501.55;448.06;965.17;544.83;1668631315083;1668631315081;1668620516740
B;3i24s-240-trial3;23;female;NO;521.47;479.02;821.39;95.21;707.01;633.19;501.55;448.06;965.17;544.83;1668631315084;1668631315081;1668620516744
B;3i24s-240-trial3;23;female;NO;520.33;476.93;832.66;97.49;694.77;629.93;498.51;436.93;956.86;553.60;1668631315092;1668631315081;1668620516756
B;3i24s-240-trial3;23;female;NO;521.89;477.97;832.66;97.49;694.77;629.93;498.51;436.93;956.86;553.60;1668631315096;1668631315091;1668620516760
B;3i24s-240-trial3;23;female;NO;521.97;477.20;832.66;97.49;694.77;629.93;498.51;436.93;956.86;553.60;1668631315103;1668631315101;1668620516764
B;3i24s-240-trial3;23;female;NO;520.31;478.00;843.81;100.32;682.70;626.19;496.02;425.72;948.23;562.02;1668631315111;1668631315101;1668620516768
B;3i24s-240-trial3;23;female;NO;518.89;478.43;843.81;100.32;682.70;626.19;496.02;425.72;948.23;562.02;1668631315112;1668631315111;1668620516776
B;3i24s-240-trial3;23;female;NO;517.19;477.55;843.81;100.32;682.70;626.19;496.02;425.72;948.23;562.02;1668631315118;1668631315111;1668620516780
B;3i24s-240-trial3;23;female;NO;515.83;476.81;854.64;103.62;671.05;622.07;494.11;414.62;939.44;569.96;1668631315127;1668631315121;1668620516784
