order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
A;2i24s-180-trial2;23;female;no;513.34;479.76;776.41;91.64;756.51;641.28;518.74;490.51;994.34;507.34;1670855864508;1670855864511;1670855849858
A;2i24s-180-trial2;23;female;no;513.07;479.72;776.41;91.64;756.51;641.28;518.74;490.51;994.34;507.34;1670855864512;1670855864511;1670855849862
A;2i24s-180-trial2;23;female;no;514.15;479.87;787.56;91.71;744.15;640.00;513.73;480.28;987.70;517.00;1670855864521;1670855864524;1670855849870
A;2i24s-180-trial2;23;female;no;514.92;481.20;787.56;91.71;744.15;640.00;513.73;480.28;987.70;517.00;1670855864525;1670855864531;1670855849874
A;2i24s-180-trial2;23;female;no;514.66;481.59;787.56;91.71;744.15;640.00;513.73;480.28;987.70;517.00;1670855864526;1670855864531;1670855849878
A;2i24s-180-trial2;23;female;no;514.77;480.91;798.95;92.34;731.58;638.20;509.12;469.62;980.51;526.62;1670855864533;1670855864531;1670855849882
A;2i24s-180-trial2;23;female;no;514.49;479.94;798.95;92.34;731.58;638.20;509.12;469.62;980.51;526.62;1670855864541;1670855864541;1670855849890
A;2i24s-180-trial2;23;female;no;514.39;481.47;798.95;92.34;731.58;638.20;509.12;469.62;980.51;526.62;1670855864545;1670855864551;1670855849894
A;2i24s-180-trial2;23;female;no;514.15;481.59;798.95;92.34;731.58;638.20;509.12;469.62;980.51;526.62;1670855864546;1670855864551;1670855849898
A;2i24s-180-trial2;23;female;no;515.26;480.73;810.42;93.53;718.99;635.88;505.00;458.69;972.86;536.05;1670855864551;1670855864551;1670855849902
A;2i24s-180-trial2;23;female;no;514.27;480.98;810.42;93.53;718.99;635.88;505.00;458.69;972.86;536.05;1670855864556;1670855864563;1670855849910
A;2i24s-180-trial2;23;female;no;514.50;481.46;810.42;93.53;718.99;635.88;505.00;458.69;972.86;536.05;1670855864562;1670855864563;1670855849914
A;2i24s-180-trial2;23;female;no;514.27;480.31;821.52;95.24;706.87;633.15;501.51;447.93;965.07;544.93;1670855864568;1670855864573;1670855849918
A;2i24s-180-trial2;23;female;no;514.27;481.09;821.52;95.24;706.87;633.15;501.51;447.93;965.07;544.93;1670855864574;1670855864581;1670855849922
A;2i24s-180-trial2;23;female;no;514.27;480.59;821.52;95.24;706.87;633.15;501.51;447.93;965.07;544.93;1670855864578;1670855864581;1670855849930
A;2i24s-180-trial2;23;female;no;514.73;480.62;832.82;97.53;694.58;629.88;498.47;436.77;956.73;553.72;1670855864584;1670855864590;1670855849934
A;2i24s-180-trial2;23;female;no;512.48;480.39;832.82;97.53;694.58;629.88;498.47;436.77;956.73;553.72;1670855864588;1670855864592;1670855849938
A;2i24s-180-trial2;23;female;no;513.12;480.44;832.82;97.53;694.58;629.88;498.47;436.77;956.73;553.72;1670855864592;1670855864592;1670855849942
A;2i24s-180-trial2;23;female;no;512.73;484.32;843.98;100.37;682.52;626.13;495.99;425.54;948.09;562.15;1670855864601;1670855864601;1670855849950
A;2i24s-180-trial2;23;female;no;512.75;484.43;843.98;100.37;682.52;626.13;495.99;425.54;948.09;562.15;1670855864605;1670855864611;1670855849954
A;2i24s-180-trial2;23;female;no;512.61;482.76;843.98;100.37;682.52;626.13;495.99;425.54;948.09;562.15;1670855864610;1670855864611;1670855849958
A;2i24s-180-trial2;23;female;no;512.67;482.65;843.98;100.37;682.52;626.13;495.99;425.54;948.09;562.15;1670855864613;1670855864621;1670855849962
A;2i24s-180-trial2;23;female;no;512.20;484.80;854.79;103.67;670.89;622.01;494.09;414.47;939.32;570.06;1670855864620;1670855864621;1670855849970
A;2i24s-180-trial2;23;female;no;511.56;482.33;854.79;103.67;670.89;622.01;494.09;414.47;939.32;570.06;1670855864624;1670855864631;1670855849974
A;2i24s-180-trial2;23;female;no;510.81;483.62;854.79;103.67;670.89;622.01;494.09;414.47;939.32;570.06;1670855864629;1670855864631;1670855849978
A;2i24s-180-trial2;23;female;no;509.43;480.49;865.69;107.57;659.23;617.35;492.71;403.11;930.07;577.78;1670855864635;1670855864641;1670855849982
A;2i24s-180-trial2;23;female;no;507.64;480.46;865.69;107.57;659.23;617.35;492.71;403.11;930.07;577.78;1670855864640;1670855864641;1670855849990
A;2i24s-180-trial2;23;female;no;506.51;479.55;865.69;107.57;659.23;617.35;492.71;403.11;930.07;577.78;1670855864646;1670855864651;1670855849994
A;2i24s-180-trial2;23;female;no;507.30;479.76;897.09;122.27;626.00;600.82;491.88;369.12;900.90;598.48;1670855864684;1670855864681;1670855849998
A;2i24s-180-trial2;23;female;no;507.49;478.80;897.09;122.27;626.00;600.82;491.88;369.12;900.90;598.48;1670855864684;1670855864681;1670855850002
A;2i24s-180-trial2;23;female;no;509.05;480.44;897.09;122.27;626.00;600.82;491.88;369.12;900.90;598.48;1670855864685;1670855864691;1670855850022
A;2i24s-180-trial2;23;female;no;509.04;478.38;897.09;122.27;626.00;600.82;491.88;369.12;900.90;598.48;1670855864685;1670855864692;1670855850030
A;2i24s-180-trial2;23;female;no;509.14;478.30;897.09;122.27;626.00;600.82;491.88;369.12;900.90;598.48;1670855864685;1670855864693;1670855850034
A;2i24s-180-trial2;23;female;no;510.00;478.53;897.09;122.27;626.00;600.82;491.88;369.12;900.90;598.48;1670855864690;1670855864693;1670855850038
A;2i24s-180-trial2;23;female;no;504.54;476.28;897.09;122.27;626.00;600.82;491.88;369.12;900.90;598.48;1670855864694;1670855864701;1670855850050
A;2i24s-180-trial2;23;female;no;505.34;476.43;907.37;128.31;615.26;594.33;491.64;356.48;890.48;604.70;1670855864700;1670855864701;1670855850054
A;2i24s-180-trial2;23;female;no;507.16;476.53;907.37;128.31;615.26;594.33;491.64;356.48;890.48;604.70;1670855864705;1670855864711;1670855850058
A;2i24s-180-trial2;23;female;no;506.79;476.22;907.37;128.31;615.26;594.33;491.64;356.48;890.48;604.70;1670855864712;1670855864711;1670855850062
A;2i24s-180-trial2;23;female;no;507.11;477.72;907.37;128.31;615.26;594.33;491.64;356.48;890.48;604.70;1670855864714;1670855864721;1670855850070
A;2i24s-180-trial2;23;female;no;509.15;477.81;917.02;134.59;605.24;587.68;491.71;344.12;880.25;610.28;1670855864719;1670855864721;1670855850074
A;2i24s-180-trial2;23;female;no;508.03;476.74;917.02;134.59;605.24;587.68;491.71;344.12;880.25;610.28;1670855864725;1670855864731;1670855850078
A;2i24s-180-trial2;23;female;no;508.17;475.66;936.06;148.89;585.69;572.86;493.53;318.99;858.69;620.40;1670855864762;1670855864763;1670855850082
A;2i24s-180-trial2;23;female;no;508.99;476.72;936.06;148.89;585.69;572.86;493.53;318.99;858.69;620.40;1670855864763;1670855864771;1670855850094
A;2i24s-180-trial2;23;female;no;510.52;479.33;936.06;148.89;585.69;572.86;493.53;318.99;858.69;620.40;1670855864764;1670855864772;1670855850102
A;2i24s-180-trial2;23;female;no;510.31;479.02;944.94;156.55;576.68;565.06;495.24;306.86;847.92;624.69;1670855864766;1670855864772;1670855850114
A;2i24s-180-trial2;23;female;no;509.53;478.53;944.94;156.55;576.68;565.06;495.24;306.86;847.92;624.69;1670855864767;1670855864774;1670855850118
A;2i24s-180-trial2;23;female;no;509.94;477.63;944.94;156.55;576.68;565.06;495.24;306.86;847.92;624.69;1670855864774;1670855864781;1670855850122
A;2i24s-180-trial2;23;female;no;511.36;477.87;944.94;156.55;576.68;565.06;495.24;306.86;847.92;624.69;1670855864779;1670855864781;1670855850130
A;2i24s-180-trial2;23;female;no;510.72;477.50;953.74;164.84;567.82;556.72;497.53;294.57;836.75;628.62;1670855864786;1670855864791;1670855850134
