order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
A;3i24s-240-trial1;23;male;flauta "medio";565.01;570.14;773.16;91.72;760.12;641.56;520.29;493.46;996.21;504.48;1668702697755;1668702697747;1668702696868
A;3i24s-240-trial1;23;male;flauta "medio";565.07;569.92;773.16;91.72;760.12;641.56;520.29;493.46;996.21;504.48;1668702697758;1668702697756;1668702696872
A;3i24s-240-trial1;23;male;flauta "medio";564.72;569.58;773.16;91.72;760.12;641.56;520.29;493.46;996.21;504.48;1668702697764;1668702697756;1668702696876
A;3i24s-240-trial1;23;male;flauta "medio";563.20;569.42;773.16;91.72;760.12;641.56;520.29;493.46;996.21;504.48;1668702697769;1668702697767;1668702696880
A;3i24s-240-trial1;23;male;flauta "medio";558.09;565.68;784.48;91.64;747.55;640.40;515.06;483.11;989.57;514.36;1668702697775;1668702697777;1668702696888
A;3i24s-240-trial1;23;male;flauta "medio";558.22;558.95;784.48;91.64;747.55;640.40;515.06;483.11;989.57;514.36;1668702697783;1668702697777;1668702696892
A;3i24s-240-trial1;23;male;flauta "medio";559.57;559.07;784.48;91.64;747.55;640.40;515.06;483.11;989.57;514.36;1668702697785;1668702697788;1668702696896
A;3i24s-240-trial1;23;male;flauta "medio";567.14;564.93;795.87;92.11;734.98;638.73;510.32;472.53;982.49;524.04;1668702697796;1668702697798;1668702696908
A;3i24s-240-trial1;23;male;flauta "medio";567.16;564.25;795.87;92.11;734.98;638.73;510.32;472.53;982.49;524.04;1668702697796;1668702697798;1668702696912
A;3i24s-240-trial1;23;male;flauta "medio";568.09;565.01;807.23;93.14;722.49;636.58;506.09;461.75;975.03;533.46;1668702697805;1668702697807;1668702696916
A;3i24s-240-trial1;23;male;flauta "medio";567.19;563.48;807.23;93.14;722.49;636.58;506.09;461.75;975.03;533.46;1668702697807;1668702697807;1668702696920
A;3i24s-240-trial1;23;male;flauta "medio";567.18;568.35;807.23;93.14;722.49;636.58;506.09;461.75;975.03;533.46;1668702697815;1668702697817;1668702696928
A;3i24s-240-trial1;23;male;flauta "medio";567.19;568.29;807.23;93.14;722.49;636.58;506.09;461.75;975.03;533.46;1668702697820;1668702697817;1668702696932
A;3i24s-240-trial1;23;male;flauta "medio";564.10;566.17;818.49;94.72;710.17;633.95;502.41;450.89;967.23;542.53;1668702697825;1668702697827;1668702696936
A;3i24s-240-trial1;23;male;flauta "medio";564.05;562.31;818.49;94.72;710.17;633.95;502.41;450.89;967.23;542.53;1668702697831;1668702697827;1668702696940
A;3i24s-240-trial1;23;male;flauta "medio";561.01;562.45;829.71;96.84;697.96;630.83;499.25;439.86;959.07;551.33;1668702697840;1668702697837;1668702696948
A;3i24s-240-trial1;23;male;flauta "medio";570.98;562.35;829.71;96.84;697.96;630.83;499.25;439.86;959.07;551.33;1668702697840;1668702697844;1668702696952
A;3i24s-240-trial1;23;male;flauta "medio";568.19;561.69;829.71;96.84;697.96;630.83;499.25;439.86;959.07;551.33;1668702697847;1668702697847;1668702696956
A;3i24s-240-trial1;23;male;flauta "medio";569.14;561.76;829.71;96.84;697.96;630.83;499.25;439.86;959.07;551.33;1668702697853;1668702697850;1668702696960
A;3i24s-240-trial1;23;male;flauta "medio";567.82;563.82;840.79;99.50;685.96;627.25;496.64;428.77;950.60;559.77;1668702697858;1668702697857;1668702696967
A;3i24s-240-trial1;23;male;flauta "medio";567.72;565.22;840.79;99.50;685.96;627.25;496.64;428.77;950.60;559.77;1668702697864;1668702697857;1668702696972
A;3i24s-240-trial1;23;male;flauta "medio";567.66;565.58;851.83;102.71;674.07;623.19;494.56;417.53;941.76;567.92;1668702697871;1668702697867;1668702696976
A;3i24s-240-trial1;23;male;flauta "medio";566.16;554.48;851.83;102.71;674.07;623.19;494.56;417.53;941.76;567.92;1668702697876;1668702697877;1668702696988
A;3i24s-240-trial1;23;male;flauta "medio";563.57;554.81;851.83;102.71;674.07;623.19;494.56;417.53;941.76;567.92;1668702697881;1668702697877;1668702696992
A;3i24s-240-trial1;23;male;flauta "medio";563.63;555.11;862.72;106.45;662.40;618.67;493.03;406.22;932.63;575.71;1668702697888;1668702697887;1668702696996
A;3i24s-240-trial1;23;male;flauta "medio";563.07;553.32;862.72;106.45;662.40;618.67;493.03;406.22;932.63;575.71;1668702697897;1668702697897;1668702697008
A;3i24s-240-trial1;23;male;flauta "medio";572.65;553.87;873.62;110.79;650.78;613.62;492.04;394.70;923.06;583.24;1668702697906;1668702697907;1668702697012
A;3i24s-240-trial1;23;male;flauta "medio";572.49;553.94;873.62;110.79;650.78;613.62;492.04;394.70;923.06;583.24;1668702697907;1668702697910;1668702697016
A;3i24s-240-trial1;23;male;flauta "medio";564.92;553.51;873.62;110.79;650.78;613.62;492.04;394.70;923.06;583.24;1668702697916;1668702697917;1668702697028
A;3i24s-240-trial1;23;male;flauta "medio";563.34;552.87;883.98;115.48;639.80;608.30;491.63;383.54;913.55;590.13;1668702697921;1668702697917;1668702697032
A;3i24s-240-trial1;23;male;flauta "medio";563.04;550.81;883.98;115.48;639.80;608.30;491.63;383.54;913.55;590.13;1668702697924;1668702697927;1668702697036
A;3i24s-240-trial1;23;male;flauta "medio";565.37;551.06;883.98;115.48;639.80;608.30;491.63;383.54;913.55;590.13;1668702697933;1668702697927;1668702697040
A;3i24s-240-trial1;23;male;flauta "medio";567.21;551.85;883.98;115.48;639.80;608.30;491.63;383.54;913.55;590.13;1668702697936;1668702697937;1668702697048
A;3i24s-240-trial1;23;male;flauta "medio";566.89;553.61;894.34;120.76;628.89;602.47;491.75;372.18;903.62;596.76;1668702697946;1668702697947;1668702697056
A;3i24s-240-trial1;23;male;flauta "medio";564.27;550.45;904.58;126.61;618.17;596.14;491.71;360.00;893.35;603.05;1668702697955;1668702697956;1668702697068
A;3i24s-240-trial1;23;male;flauta "medio";564.22;549.65;904.58;126.61;618.17;596.14;491.71;360.00;893.35;603.05;1668702697960;1668702697956;1668702697071
A;3i24s-240-trial1;23;male;flauta "medio";562.35;546.54;904.58;126.61;618.17;596.14;491.71;360.00;893.35;603.05;1668702697965;1668702697966;1668702697075
A;3i24s-240-trial1;23;male;flauta "medio";562.03;547.02;914.40;132.82;607.96;589.54;491.64;347.50;883.07;608.79;1668702697971;1668702697966;1668702697079
A;3i24s-240-trial1;23;male;flauta "medio";555.84;542.68;914.40;132.82;607.96;589.54;491.64;347.50;883.07;608.79;1668702697975;1668702697977;1668702697087
A;3i24s-240-trial1;23;male;flauta "medio";555.17;543.37;914.40;132.82;607.96;589.54;491.64;347.50;883.07;608.79;1668702697982;1668702697977;1668702697091
A;3i24s-240-trial1;23;male;flauta "medio";555.37;542.54;924.04;139.55;598.00;582.49;492.11;334.98;872.52;614.15;1668702697988;1668702697987;1668702697095
A;3i24s-240-trial1;23;male;flauta "medio";560.68;546.22;924.04;139.55;598.00;582.49;492.11;334.98;872.52;614.15;1668702697991;1668702697987;1668702697103
A;3i24s-240-trial1;23;male;flauta "medio";560.13;545.91;924.04;139.55;598.00;582.49;492.11;334.98;872.52;614.15;1668702697998;1668702697997;1668702697107
A;3i24s-240-trial1;23;male;flauta "medio";561.21;547.44;933.46;146.78;588.34;575.02;493.14;322.48;861.75;619.09;1668702698005;1668702697997;1668702697111
A;3i24s-240-trial1;23;male;flauta "medio";560.78;546.33;933.46;146.78;588.34;575.02;493.14;322.48;861.75;619.09;1668702698007;1668702698007;1668702697115
A;3i24s-240-trial1;23;male;flauta "medio";556.18;545.16;933.46;146.78;588.34;575.02;493.14;322.48;861.75;619.09;1668702698014;1668702698007;1668702697123
A;3i24s-240-trial1;23;male;flauta "medio";563.19;552.38;933.46;146.78;588.34;575.02;493.14;322.48;861.75;619.09;1668702698020;1668702698017;1668702697127
A;3i24s-240-trial1;23;male;flauta "medio";559.50;552.59;942.51;154.39;579.14;567.26;494.71;310.20;850.92;623.55;1668702698024;1668702698026;1668702697135
A;3i24s-240-trial1;23;male;flauta "medio";553.83;552.77;942.51;154.39;579.14;567.26;494.71;310.20;850.92;623.55;1668702698030;1668702698028;1668702697143
A;3i24s-240-trial1;23;male;flauta "medio";554.11;551.62;942.51;154.39;579.14;567.26;494.71;310.20;850.92;623.55;1668702698036;1668702698037;1668702697147
A;3i24s-240-trial1;23;male;flauta "medio";555.54;553.47;951.32;162.49;570.25;559.08;496.84;297.98;839.88;627.57;1668702698049;1668702698047;1668702697155
A;3i24s-240-trial1;23;male;flauta "medio";551.38;548.46;951.32;162.49;570.25;559.08;496.84;297.98;839.88;627.57;1668702698053;1668702698047;1668702697163
A;3i24s-240-trial1;23;male;flauta "medio";551.69;548.62;959.80;171.00;561.77;550.57;499.51;285.91;828.73;631.12;1668702698057;1668702698057;1668702697167
A;3i24s-240-trial1;23;male;flauta "medio";552.52;548.90;959.80;171.00;561.77;550.57;499.51;285.91;828.73;631.12;1668702698064;1668702698057;1668702697171
A;3i24s-240-trial1;23;male;flauta "medio";561.81;556.93;959.80;171.00;561.77;550.57;499.51;285.91;828.73;631.12;1668702698069;1668702698067;1668702697183
A;3i24s-240-trial1;23;male;flauta "medio";561.24;549.55;967.94;179.91;553.71;541.74;502.72;274.04;817.50;634.20;1668702698074;1668702698077;1668702697187
A;3i24s-240-trial1;23;male;flauta "medio";560.98;548.29;967.94;179.91;553.71;541.74;502.72;274.04;817.50;634.20;1668702698079;1668702698077;1668702697191
A;3i24s-240-trial1;23;male;flauta "medio";559.60;547.27;967.94;179.91;553.71;541.74;502.72;274.04;817.50;634.20;1668702698085;1668702698087;1668702697195
A;3i24s-240-trial1;23;male;flauta "medio";556.24;546.31;975.72;189.21;546.10;532.61;506.46;262.37;806.20;636.79;1668702698090;1668702698087;1668702697203
