order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
A;1i24s-0-trial4;23;male;flauta "medio";553.12;666.06;778.40;91.61;754.30;641.09;517.81;488.70;993.19;509.08;1668702373767;1668702373760;1668702372883
A;1i24s-0-trial4;23;male;flauta "medio";553.80;671.51;778.40;91.61;754.30;641.09;517.81;488.70;993.19;509.08;1668702373772;1668702373766;1668702372887
A;1i24s-0-trial4;23;male;flauta "medio";556.18;668.60;778.40;91.61;754.30;641.09;517.81;488.70;993.19;509.08;1668702373777;1668702373774;1668702372891
A;1i24s-0-trial4;23;male;flauta "medio";571.61;673.83;789.87;91.79;741.59;639.67;512.76;478.13;986.27;518.97;1668702373789;1668702373782;1668702372899
A;1i24s-0-trial4;23;male;flauta "medio";569.42;669.70;789.87;91.79;741.59;639.67;512.76;478.13;986.27;518.97;1668702373794;1668702373790;1668702372904
A;1i24s-0-trial4;23;male;flauta "medio";568.62;669.33;801.22;92.53;729.09;637.78;508.27;467.48;979.03;528.50;1668702373804;1668702373798;1668702372907
A;1i24s-0-trial4;23;male;flauta "medio";541.23;677.66;801.22;92.53;729.09;637.78;508.27;467.48;979.03;528.50;1668702373805;1668702373798;1668702372911
A;1i24s-0-trial4;23;male;flauta "medio";529.91;680.83;801.22;92.53;729.09;637.78;508.27;467.48;979.03;528.50;1668702373806;1668702373798;1668702372919
A;1i24s-0-trial4;23;male;flauta "medio";529.36;675.25;801.22;92.53;729.09;637.78;508.27;467.48;979.03;528.50;1668702373808;1668702373807;1668702372923
A;1i24s-0-trial4;23;male;flauta "medio";510.48;671.01;801.22;92.53;729.09;637.78;508.27;467.48;979.03;528.50;1668702373813;1668702373808;1668702372927
A;1i24s-0-trial4;23;male;flauta "medio";493.58;610.83;812.35;93.79;716.89;635.44;504.36;456.84;971.54;537.61;1668702373817;1668702373808;1668702372931
A;1i24s-0-trial4;23;male;flauta "medio";545.93;614.62;812.35;93.79;716.89;635.44;504.36;456.84;971.54;537.61;1668702373824;1668702373817;1668702372939
A;1i24s-0-trial4;23;male;flauta "medio";499.70;572.14;812.35;93.79;716.89;635.44;504.36;456.84;971.54;537.61;1668702373827;1668702373825;1668702372943
A;1i24s-0-trial4;23;male;flauta "medio";562.09;530.77;823.77;95.65;704.42;632.54;500.86;445.73;963.45;546.70;1668702373835;1668702373833;1668702372947
A;1i24s-0-trial4;23;male;flauta "medio";522.70;488.65;823.77;95.65;704.42;632.54;500.86;445.73;963.45;546.70;1668702373840;1668702373835;1668702372951
A;1i24s-0-trial4;23;male;flauta "medio";502.82;452.88;823.77;95.65;704.42;632.54;500.86;445.73;963.45;546.70;1668702373846;1668702373843;1668702372959
A;1i24s-0-trial4;23;male;flauta "medio";515.58;431.45;834.82;98.00;692.42;629.24;497.98;434.77;955.21;555.25;1668702373850;1668702373843;1668702372963
A;1i24s-0-trial4;23;male;flauta "medio";509.82;411.04;834.82;98.00;692.42;629.24;497.98;434.77;955.21;555.25;1668702373857;1668702373851;1668702372967
A;1i24s-0-trial4;23;male;flauta "medio";454.43;427.26;834.82;98.00;692.42;629.24;497.98;434.77;955.21;555.25;1668702373858;1668702373851;1668702372972
A;1i24s-0-trial4;23;male;flauta "medio";425.75;449.91;834.82;98.00;692.42;629.24;497.98;434.77;955.21;555.25;1668702373864;1668702373859;1668702372979
A;1i24s-0-trial4;23;male;flauta "medio";404.86;441.76;845.86;100.90;680.49;625.45;495.62;423.63;946.59;563.54;1668702373870;1668702373867;1668702372983
A;1i24s-0-trial4;23;male;flauta "medio";424.52;486.96;845.86;100.90;680.49;625.45;495.62;423.63;946.59;563.54;1668702373876;1668702373867;1668702372987
A;1i24s-0-trial4;23;male;flauta "medio";432.61;478.06;845.86;100.90;680.49;625.45;495.62;423.63;946.59;563.54;1668702373880;1668702373876;1668702372991
