order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
B;2i24s-0-trial2;24;male;no;510.19;422.35;775.96;91.65;757.01;641.32;518.95;490.92;994.60;506.95;1669047947172;1669047947171;1669047943141
B;2i24s-0-trial2;24;male;no;510.34;422.46;775.96;91.65;757.01;641.32;518.95;490.92;994.60;506.95;1669047947176;1669047947171;1669047943145
B;2i24s-0-trial2;24;male;no;510.50;422.60;775.96;91.65;757.01;641.32;518.95;490.92;994.60;506.95;1669047947178;1669047947181;1669047943149
B;2i24s-0-trial2;24;male;no;510.47;422.65;787.21;91.70;744.54;640.04;513.88;480.60;987.91;516.70;1669047947185;1669047947181;1669047943153
B;2i24s-0-trial2;24;male;no;509.78;422.77;798.64;92.31;731.93;638.25;509.24;469.92;980.71;526.36;1669047947205;1669047947201;1669047943169
B;2i24s-0-trial2;24;male;no;509.89;423.23;798.64;92.31;731.93;638.25;509.24;469.92;980.71;526.36;1669047947205;1669047947201;1669047943173
B;2i24s-0-trial2;24;male;no;510.01;423.42;798.64;92.31;731.93;638.25;509.24;469.92;980.71;526.36;1669047947211;1669047947211;1669047943180
B;2i24s-0-trial2;24;male;no;510.06;423.41;798.64;92.31;731.93;638.25;509.24;469.92;980.71;526.36;1669047947216;1669047947211;1669047943184
B;2i24s-0-trial2;24;male;no;509.33;423.48;809.86;93.46;719.61;636.01;505.19;459.24;973.24;535.60;1669047947231;1669047947231;1669047943193
B;2i24s-0-trial2;24;male;no;509.37;424.45;809.86;93.46;719.61;636.01;505.19;459.24;973.24;535.60;1669047947231;1669047947231;1669047943201
B;2i24s-0-trial2;24;male;no;508.44;424.27;821.22;95.18;707.20;633.23;501.60;448.23;965.29;544.69;1669047947241;1669047947245;1669047943205
