order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
B;3i24s-120-trial1;23;male;guitarra canto;360.67;582.18;777.71;91.62;755.07;641.15;518.13;489.32;993.59;508.48;1671548493754;1671548493755;1671548493711
B;3i24s-120-trial1;23;male;guitarra canto;366.18;555.66;777.71;91.62;755.07;641.15;518.13;489.32;993.59;508.48;1671548493759;1671548493755;1671548493715
B;3i24s-120-trial1;23;male;guitarra canto;383.20;486.87;789.01;91.76;742.55;639.80;513.12;478.93;986.80;518.23;1671548493768;1671548493767;1671548493723
B;3i24s-120-trial1;23;male;guitarra canto;416.42;462.45;789.01;91.76;742.55;639.80;513.12;478.93;986.80;518.23;1671548493769;1671548493767;1671548493727
B;3i24s-120-trial1;23;male;guitarra canto;467.88;454.70;789.01;91.76;742.55;639.80;513.12;478.93;986.80;518.23;1671548493774;1671548493775;1671548493731
B;3i24s-120-trial1;23;male;guitarra canto;491.89;457.27;789.01;91.76;742.55;639.80;513.12;478.93;986.80;518.23;1671548493777;1671548493775;1671548493735
B;3i24s-120-trial1;23;male;guitarra canto;515.97;446.73;800.37;92.46;730.02;637.94;508.58;468.28;979.58;527.80;1671548493783;1671548493783;1671548493744
B;3i24s-120-trial1;23;male;guitarra canto;526.14;428.05;800.37;92.46;730.02;637.94;508.58;468.28;979.58;527.80;1671548493791;1671548493785;1671548493747
B;3i24s-120-trial1;23;male;guitarra canto;531.70;410.32;800.37;92.46;730.02;637.94;508.58;468.28;979.58;527.80;1671548493793;1671548493785;1671548493751
B;3i24s-120-trial1;23;male;guitarra canto;533.66;394.49;800.37;92.46;730.02;637.94;508.58;468.28;979.58;527.80;1671548493797;1671548493795;1671548493755
B;3i24s-120-trial1;23;male;guitarra canto;554.86;383.33;811.72;93.71;717.57;635.59;504.56;457.44;971.97;537.11;1671548493803;1671548493803;1671548493763
B;3i24s-120-trial1;23;male;guitarra canto;563.87;374.40;811.72;93.71;717.57;635.59;504.56;457.44;971.97;537.11;1671548493808;1671548493805;1671548493767
B;3i24s-120-trial1;23;male;guitarra canto;568.63;363.47;811.72;93.71;717.57;635.59;504.56;457.44;971.97;537.11;1671548493814;1671548493815;1671548493772
B;3i24s-120-trial1;23;male;guitarra canto;585.33;362.63;822.95;95.49;705.31;632.77;501.10;446.53;964.04;546.06;1671548493819;1671548493817;1671548493775
B;3i24s-120-trial1;23;male;guitarra canto;590.49;368.82;822.95;95.49;705.31;632.77;501.10;446.53;964.04;546.06;1671548493822;1671548493817;1671548493783
B;3i24s-120-trial1;23;male;guitarra canto;581.58;360.68;822.95;95.49;705.31;632.77;501.10;446.53;964.04;546.06;1671548493827;1671548493825;1671548493787
