order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
B;2i36s-0-trial4;23;male;guitarra canto;27.25;875.45;775.39;91.66;757.64;641.37;519.22;491.43;994.93;506.45;1671549043366;1671549043364;1671549043311
B;2i36s-0-trial4;23;male;guitarra canto;25.34;875.25;783.03;91.62;749.16;640.58;515.71;484.45;990.44;513.11;1671549043372;1671549043370;1671549043315
B;2i36s-0-trial4;23;male;guitarra canto;27.29;877.76;783.03;91.62;749.16;640.58;515.71;484.45;990.44;513.11;1671549043381;1671549043374;1671549043323
B;2i36s-0-trial4;23;male;guitarra canto;26.39;878.37;790.59;91.82;740.81;639.57;512.46;477.46;985.82;519.58;1671549043389;1671549043386;1671549043331
B;2i36s-0-trial4;23;male;guitarra canto;29.62;880.08;798.17;92.28;732.45;638.34;509.42;470.36;981.01;525.96;1671549043405;1671549043404;1671549043335
B;2i36s-0-trial4;23;male;guitarra canto;28.17;880.56;798.17;92.28;732.45;638.34;509.42;470.36;981.01;525.96;1671549043407;1671549043404;1671549043339
B;2i36s-0-trial4;23;male;guitarra canto;22.03;880.17;798.17;92.28;732.45;638.34;509.42;470.36;981.01;525.96;1671549043408;1671549043404;1671549043343
B;2i36s-0-trial4;23;male;guitarra canto;25.46;881.06;798.17;92.28;732.45;638.34;509.42;470.36;981.01;525.96;1671549043409;1671549043404;1671549043351
B;2i36s-0-trial4;23;male;guitarra canto;29.09;882.96;798.17;92.28;732.45;638.34;509.42;470.36;981.01;525.96;1671549043414;1671549043404;1671549043355
B;2i36s-0-trial4;23;male;guitarra canto;30.88;886.25;798.17;92.28;732.45;638.34;509.42;470.36;981.01;525.96;1671549043418;1671549043414;1671549043359
B;2i36s-0-trial4;23;male;guitarra canto;53.86;895.33;805.71;92.97;724.16;636.89;506.63;463.21;976.05;532.20;1671549043424;1671549043420;1671549043363
B;2i36s-0-trial4;23;male;guitarra canto;114.78;913.27;805.71;92.97;724.16;636.89;506.63;463.21;976.05;532.20;1671549043434;1671549043424;1671549043371
B;2i36s-0-trial4;23;male;guitarra canto;143.98;923.74;813.22;93.91;715.93;635.24;504.07;456.00;970.93;538.32;1671549043437;1671549043436;1671549043375
B;2i36s-0-trial4;23;male;guitarra canto;182.63;929.50;813.22;93.91;715.93;635.24;504.07;456.00;970.93;538.32;1671549043442;1671549043436;1671549043379
B;2i36s-0-trial4;23;male;guitarra canto;253.20;934.23;813.22;93.91;715.93;635.24;504.07;456.00;970.93;538.32;1671549043448;1671549043444;1671549043391
