cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
3d;25;f;800;92;783;83;;19,23538406;;;;;;;
3d;25;f;807;93;786;85;;22,47220505;;;suona pianoforte;;;;circolare
3d;25;f;807;93;790;86;;18,38477631;;;;;;;
3d;25;f;814;94;797;89;;17,72004515;;;;;;;
3d;25;f;821;95;803;91;;18,43908891;;;;;;;
3d;25;f;827;96;811;93;;16,2788206;;;;;;;
3d;25;f;834;97;817;95;;17,11724277;;;;;;;
3d;25;f;841;99;827;99;;14;;;;;;;
3d;25;f;847;101;834;102;;13,03840481;;;;;;;
3d;25;f;854;103;837;103;;17;;;;mean distance;;;
3d;25;f;860;105;846;107;;14,14213562;;;3d;37,28162163;;;
3d;25;f;867;108;853;111;;14,31782106;;;mono;41,74401609;;;
3d;25;f;873;110;859;114;;14,56021978;;;;;;;
3d;25;f;880;113;865;118;;15,8113883;;;;;;;
3d;25;f;886;116;870;122;;17,08800749;;;;;;;
3d;25;f;892;119;877;127;;17;;;;;;;
3d;25;f;898;123;884;133;;17,20465053;;;;;;;
3d;25;f;904;126;890;138;;18,43908891;;;;;;;
3d;25;f;910;130;897;143;;18,38477631;;;;;;;
3d;25;f;916;134;905;147;;17,02938637;;;;;;;
3d;25;f;922;138;913;152;;16,64331698;;;;;;;
3d;25;f;928;142;919;157;;17,49285568;;;;;;;
3d;25;f;933;146;923;159;;16,40121947;;;;;;;
3d;25;f;939;151;930;164;;15,8113883;;;;;;;
3d;25;f;944;156;939;169;;13,92838828;;;;;;;
3d;25;f;949;161;947;172;;11,18033989;;;;;;;
3d;25;f;955;166;955;176;;10;;;;;;;
3d;25;f;960;171;962;179;;8,246211251;;;;;;;
3d;25;f;964;176;970;182;;8,485281374;;;;;;;
3d;25;f;969;182;976;186;;8,062257748;;;;;;;
3d;25;f;974;187;983;189;;9,219544457;;;;;;;
3d;25;f;978;193;988;194;;10,04987562;;;;;;;
3d;25;f;983;199;995;199;;12;;;;;;;
