cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
3d;27;f;665;619;739;637;;76,15773106;;;;;;;
3d;27;f;658;617;734;638;;78,84795495;;;;;;;
3d;27;f;651;614;722;639;;75,27283707;;;;;;;
3d;27;f;645;610;710;638;;70,77428912;;;canto;;;;circolare
3d;27;f;638;607;704;637;;72,49827584;;;;;;;
3d;27;f;631;604;691;634;;67,08203932;;;;;;;
3d;27;f;625;600;677;630;;60,03332408;;;;;;;
3d;27;f;618;596;664;624;;53,85164807;;;;;;;
3d;27;f;612;592;657;620;;53;;;;;;;
3d;27;f;606;588;643;613;;44,65422712;;;;mean distance;;;
3d;27;f;600;584;631;605;;37,44329045;;;3d;114,3889448;;;
3d;27;f;594;580;624;600;;36,05551275;;;mono;150,9301402;;;
3d;27;f;588;575;611;590;;27,45906044;;;;;;;
3d;27;f;583;570;600;581;;20,24845673;;;;;;;
3d;27;f;577;566;595;576;;20,59126028;;;;;;;
3d;27;f;572;561;584;566;;13;;;;;;;
3d;27;f;567;556;577;556;;10;;;;;;;
3d;27;f;562;551;570;548;;8,544003745;;;;;;;
3d;27;f;557;545;567;544;;10,04987562;;;;;;;
3d;27;f;552;540;562;536;;10,77032961;;;;;;;
3d;27;f;548;535;557;528;;11,40175425;;;;;;;
3d;27;f;543;529;555;525;;12,64911064;;;;;;;
3d;27;f;539;523;551;518;;13;;;;;;;
3d;27;f;535;518;546;511;;13,03840481;;;;;;;
3d;27;f;531;512;543;503;;15;;;;;;;
3d;27;f;527;506;541;500;;15,23154621;;;;;;;
3d;27;f;524;500;538;492;;16,1245155;;;;;;;
3d;27;f;520;494;535;484;;18,02775638;;;;;;;
3d;27;f;517;488;534;480;;18,78829423;;;;;;;
3d;27;f;514;481;532;471;;20,59126028;;;;;;;
3d;27;f;511;475;529;462;;22,20360331;;;;;;;
3d;27;f;508;469;527;452;;25,49509757;;;;;;;
3d;27;f;506;462;526;446;;25,61249695;;;;;;;
3d;27;f;504;456;523;434;;29,06888371;;;;;;;
3d;27;f;501;449;522;421;;35;;;;;;;
3d;27;f;500;442;521;414;;35;;;;;;;
3d;27;f;498;436;522;399;;44,10215414;;;;;;;
3d;27;f;496;429;523;383;;53,33854141;;;;;;;
3d;27;f;495;422;524;374;;56,08029957;;;;;;;
3d;27;f;494;416;527;358;;66,73080248;;;;;;;
3d;27;f;493;409;529;340;;77,82673063;;;;;;;
3d;27;f;492;402;531;323;;88,10221337;;;;;;;
3d;27;f;492;395;533;316;;89,0056178;;;;;;;
3d;27;f;491;388;535;300;;98,38699101;;;;;;;
3d;27;f;491;382;539;285;;108,2266141;;;;;;;
3d;27;f;491;375;540;277;;109,5673309;;;;;;;
3d;27;f;491;368;545;263;;118,0720119;;;;;;;
3d;27;f;491;361;550;249;;126,589889;;;;;;;
3d;27;f;491;353;553;242;;127,1416533;;;;;;;
3d;27;f;491;345;557;230;;132,5933633;;;;;;;
3d;27;f;491;338;562;218;;139,4309865;;;;;;;
3d;27;f;492;330;566;208;;142,6884719;;;;;;;
3d;27;f;493;323;568;203;;141,509717;;;;;;;
3d;27;f;493;315;574;195;;144,7791421;;;;;;;
3d;27;f;494;308;581;186;;149,8432514;;;;;;;
3d;27;f;496;301;584;182;;148,0033783;;;;;;;
3d;27;f;497;294;591;174;;152,4335921;;;;;;;
3d;27;f;499;286;596;166;;154,3016526;;;;;;;
3d;27;f;501;279;603;159;;157,492857;;;;;;;
3d;27;f;503;272;607;155;;156,5407295;;;;;;;
3d;27;f;505;265;613;148;;159,2262541;;;;;;;
3d;27;f;507;258;619;143;;160,5272563;;;;;;;
3d;27;f;510;251;622;140;;157,6863976;;;;;;;
3d;27;f;513;245;629;134;;160,5521722;;;;;;;
3d;27;f;516;238;639;129;;164,3471935;;;;;;;
3d;27;f;519;231;646;125;;165,4236984;;;;;;;
3d;27;f;522;225;650;122;;164,2954655;;;;;;;
3d;27;f;526;219;659;117;;167,6096656;;;;;;;
3d;27;f;529;212;668;113;;170,6516921;;;;;;;
3d;27;f;533;206;672;110;;168,9289792;;;;;;;
3d;27;f;537;200;679;107;;169,7439248;;;;;;;
3d;27;f;541;194;686;104;;170,6604817;;;;;;;
3d;27;f;546;189;690;102;;168,2408987;;;;;;;
3d;27;f;550;183;698;99;;170,1763791;;;;;;;
3d;27;f;555;177;705;97;;170;;;;;;;
3d;27;f;560;172;711;96;;169,0473307;;;;;;;
3d;27;f;565;167;714;95;;165,4841382;;;;;;;
3d;27;f;570;162;721;94;;165,6049516;;;;;;;
3d;27;f;575;157;729;93;;166,7693017;;;;;;;
3d;27;f;581;152;733;92;;163,4135857;;;;;;;
3d;27;f;586;148;738;91;;162,3360712;;;;;;;
3d;27;f;592;143;743;90;;160,0312469;;;;;;;
3d;27;f;598;139;749;90;;158,7513779;;;;;;;
3d;27;f;604;135;752;89;;154,9838701;;;;;;;
3d;27;f;610;131;759;89;;154,8063306;;;;;;;
3d;27;f;616;127;765;89;;153,7693077;;;;;;;
3d;27;f;622;124;768;89;;150,1366045;;;;;;;
3d;27;f;628;120;772;88;;147,5127113;;;;;;;
3d;27;f;635;117;778;88;;145,9109317;;;;;;;
3d;27;f;642;114;782;88;;142,3938201;;;;;;;
3d;27;f;648;111;789;88;;142,8635713;;;;;;;
3d;27;f;655;108;795;88;;141,4213562;;;;;;;
3d;27;f;662;106;800;88;;139,1689621;;;;;;;
3d;27;f;669;104;803;89;;134,8369386;;;;;;;
3d;27;f;676;102;809;90;;133,5402561;;;;;;;
3d;27;f;683;100;816;91;;133,3041635;;;;;;;
3d;27;f;690;98;819;91;;129,1897829;;;;;;;
3d;27;f;698;96;826;92;;128,0624847;;;;;;;
3d;27;f;705;95;831;93;;126,015872;;;;;;;
3d;27;f;712;94;838;94;;126;;;;;;;
3d;27;f;720;93;841;95;;121,0165278;;;;;;;
3d;27;f;727;92;848;97;;121,1032617;;;;;;;
3d;27;f;735;92;856;98;;121,148669;;;;;;;
