cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
mono;21;f;876;112;743;91;;134,6476884;;;;;;;
mono;21;f;882;114;747;90;;137,1167386;;;con esperienza violino;;;;circolare
mono;21;f;882;114;753;90;;131,2135664;;;;;;;
mono;21;f;888;117;764;89;;127,1219887;;;;;;;
mono;21;f;895;121;775;88;;124,4548111;;;;;;;
mono;21;f;901;124;789;88;;117,6435294;;;;;;;
mono;21;f;907;128;800;90;;113,547347;;;;;;;
mono;21;f;913;132;813;92;;107,7032961;;;;;;;
mono;21;f;919;135;826;97;;100,4639239;;;;;;;
mono;21;f;924;140;831;99;;101,6366076;;;;mean distance;;;
mono;21;f;930;144;853;111;;83,77350416;;;3d;335,46036;;;
mono;21;f;936;148;868;120;;73,53910524;;;mono;386,8173872;;;
mono;21;f;941;153;877;125;;69,85699679;;;;;;;
mono;21;f;946;158;890;134;;60,92618485;;;;;;;
mono;21;f;951;163;901;143;;53,85164807;;;;;;;
mono;21;f;957;168;912;153;;47,4341649;;;;;;;
mono;21;f;962;173;921;164;;41,97618372;;;;;;;
mono;21;f;966;178;930;174;;36,22154055;;;;;;;
mono;21;f;971;184;940;184;;31;;;;;;;
mono;21;f;976;189;948;194;;28,44292531;;;;;;;
mono;21;f;980;195;956;203;;25,29822128;;;;;;;
mono;21;f;985;201;963;212;;24,59674775;;;;;;;
mono;21;f;989;207;970;221;;23,60084744;;;;;;;
mono;21;f;993;213;976;228;;22,6715681;;;;;;;
mono;21;f;997;219;981;235;;22,627417;;;;;;;
mono;21;f;1001;226;986;243;;22,6715681;;;;;;;
mono;21;f;1004;232;990;249;;22,02271555;;;;;;;
mono;21;f;1008;239;992;252;;20,61552813;;;;;;;
mono;21;f;1011;246;995;259;;20,61552813;;;;;;;
mono;21;f;1014;252;999;265;;19,84943324;;;;;;;
mono;21;f;1017;259;1003;272;;19,10497317;;;;;;;
mono;21;f;1020;266;1007;281;;19,84943324;;;;;;;
mono;21;f;1023;273;1010;289;;20,61552813;;;;;;;
mono;21;f;1025;280;1013;298;;21,63330765;;;;;;;
mono;21;f;1027;287;1017;307;;22,36067977;;;;;;;
mono;21;f;1030;295;1020;317;;24,16609195;;;;;;;
mono;21;f;1032;302;1023;328;;27,51363298;;;;;;;
mono;21;f;1033;309;1025;341;;32,984845;;;;;;;
mono;21;f;1035;317;1026;354;;38,07886553;;;;;;;
mono;21;f;1036;324;1026;369;;46,09772229;;;;;;;
mono;21;f;1038;331;1024;383;;53,85164807;;;;;;;
mono;21;f;1039;339;1023;390;;53,45091206;;;;;;;
mono;21;f;1040;347;1020;404;;60,40695324;;;;;;;
mono;21;f;1041;354;1017;417;;67,41661516;;;;;;;
mono;21;f;1041;362;1014;429;;72,23572523;;;;;;;
mono;21;f;1041;369;1011;440;;77,07788269;;;;;;;
mono;21;f;1041;376;1007;448;;79,62411695;;;;;;;
mono;21;f;1040;383;1002;459;;84,97058314;;;;;;;
mono;21;f;1039;389;997;470;;91,24143795;;;;;;;
mono;21;f;1038;396;992;479;;94,89467846;;;;;;;
mono;21;f;1037;403;989;488;;97,61659695;;;;;;;
mono;21;f;1035;410;985;496;;99,47864092;;;;;;;
mono;21;f;1034;417;981;503;;101,0198;;;;;;;
mono;21;f;1032;423;979;508;;100,1698557;;;;;;;
mono;21;f;1030;430;978;510;;95,41488354;;;;;;;
mono;21;f;1028;437;973;516;;96,26006441;;;;;;;
mono;21;f;1026;443;970;521;;96,02083107;;;;;;;
mono;21;f;1023;450;969;524;;91,60785992;;;;;;;
mono;21;f;1021;457;965;531;;92,80086206;;;;;;;
mono;21;f;1018;463;964;533;;88,40814442;;;;;;;
mono;21;f;1015;469;961;538;;87,6184912;;;;;;;
mono;21;f;1012;476;957;543;;86,68333173;;;;;;;
mono;21;f;1009;482;953;549;;87,32124598;;;;;;;
mono;21;f;1005;488;948;556;;88,72992731;;;;;;;
mono;21;f;1002;495;944;562;;88,6171541;;;;;;;
mono;21;f;998;501;939;567;;88,52683209;;;;;;;
mono;21;f;994;507;934;573;;89,19641248;;;;;;;
mono;21;f;990;513;930;578;;88,45903006;;;;;;;
mono;21;f;986;519;925;583;;88,41379983;;;;;;;
mono;21;f;981;524;920;588;;88,41379983;;;;;;;
mono;21;f;977;530;914;592;;88,39117603;;;;;;;
mono;21;f;972;535;912;595;;84,85281374;;;;;;;
mono;21;f;968;541;907;601;;85,5628424;;;;;;;
mono;21;f;963;546;901;607;;86,97700846;;;;;;;
mono;21;f;958;551;896;614;;88,39117603;;;;;;;
mono;21;f;953;557;892;619;;86,97700846;;;;;;;
mono;21;f;948;562;888;623;;85,5628424;;;;;;;
mono;21;f;942;566;884;625;;82,73451517;;;;;;;
mono;21;f;937;571;881;628;;79,906195;;;;;;;
mono;21;f;932;576;878;630;;76,36753237;;;;;;;
