cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;;;;;
3d;23;m;1007;239;800;99;;249,8979792;;;;;;;;;;;
3d;23;m;1011;245;802;98;;255,5190795;;;;;;;;;;;
3d;23;m;1014;252;805;97;;260,2037663;;;;no esperienza;;;circolare;;;;
3d;23;m;1017;259;808;95;;265,6633208;;;;;;;;;;;
3d;23;m;1020;266;813;94;;269,1337957;;;;;;;;;;;
3d;23;m;1022;273;816;94;;272,9047453;;;;;;;;;;;acufene orecchio sinistro
3d;23;m;1025;280;823;94;;274,5906044;;;;;;;;;;;
3d;23;m;1027;287;831;95;;274,3720102;;;;;;;;;;;
3d;23;m;1029;294;836;96;;276,5013562;;;;;;;;;;;
3d;23;m;1031;302;848;98;;274,0529146;;;;mean distance;;;;;;;
3d;23;m;1033;309;859;99;;272,7196363;;;3d;136,7999642;;;;;;;
3d;23;m;1035;316;868;100;;273,0293025;;;mono;103,3026702;;;;;;;
3d;23;m;1036;324;873;101;;276,2209261;;;;;;;;;;;
3d;23;m;1038;331;882;102;;277,0866291;;;;;;;;;;;
3d;23;m;1039;339;891;104;;277,7210831;;;;;;;;;;;
3d;23;m;1040;346;899;108;;276,6315239;;;;;;;;;;;
3d;23;m;1041;354;903;110;;280,3212443;;;;;;;;;;;
3d;23;m;1041;361;912;115;;277,7714888;;;;;;;;;;;
3d;23;m;1041;369;919;121;;276,3837911;;;;;;;;;;;
3d;23;m;1041;376;927;128;;272,9468813;;;;;;;;;;;
3d;23;m;1040;382;931;132;;272,728803;;;;;;;;;;;
3d;23;m;1039;389;940;140;;267,9589521;;;;;;;;;;;
3d;23;m;1038;396;948;147;;264,7659344;;;;;;;;;;;
3d;23;m;1037;403;956;156;;259,9423013;;;;;;;;;;;
3d;23;m;1035;410;959;159;;262,253694;;;;;;;;;;;
3d;23;m;1034;416;965;167;;258,383436;;;;;;;;;;;
3d;23;m;1032;423;972;174;;256,1269217;;;;;;;;;;;
3d;23;m;1030;430;979;181;;254,169235;;;;;;;;;;;
3d;23;m;1028;436;982;184;;256,16401;;;;;;;;;;;
3d;23;m;1026;443;988;192;;253,8601977;;;;;;;;;;;
3d;23;m;1023;450;993;199;;252,7864712;;;;;;;;;;;
3d;23;m;1021;456;998;204;;253,0474264;;;;;;;;;;;
3d;23;m;1018;463;1001;207;;256,5638322;;;;;;;;;;;
3d;23;m;1015;469;1006;214;;255,1587741;;;;;;;;;;;
3d;23;m;1012;476;1009;220;;256,0175775;;;;;;;;;;;
3d;23;m;1009;482;1013;226;;256,0312481;;;;;;;;;;;
3d;23;m;1005;488;1014;228;;260,1557226;;;;;;;;;;;
3d;23;m;1002;494;1016;233;;261,3752092;;;;;;;;;;;
3d;23;m;998;500;1018;237;;263,75936;;;;;;;;;;;
