cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
3d;24;f;823;95;754;635;;544,3904849;;;;;;;
3d;24;f;830;97;749;634;;543,0745805;;;;;;;
3d;24;f;837;98;743;633;;543,1951767;;;canto;;;;circolare
3d;24;f;843;100;738;632;;542,2628514;;;;;;;
3d;24;f;850;102;735;631;;541,3557056;;;;;;;
3d;24;f;857;104;729;630;;541,3501639;;;;;;;
3d;24;f;863;106;724;628;;540,1897815;;;;;;;
3d;24;f;870;109;718;626;;538,8812485;;;;;;;
3d;24;f;876;112;713;624;;537,3202025;;;;;;;
3d;24;f;882;114;710;623;;537,2755345;;;;mean distance;;;
3d;24;f;889;117;706;620;;535,2550794;;;3d;136,002422;;;
3d;24;f;895;121;702;618;;533,158513;;;mono;58,95633242;;;
3d;24;f;901;124;699;617;;532,7785656;;;;;;;
3d;24;f;907;128;697;616;;531,2664115;;;;;;;
3d;24;f;913;132;695;615;;529,9179182;;;;;;;
3d;24;f;919;136;693;614;;528,7343378;;;;;;;
3d;24;f;924;140;690;613;;527,7167801;;;;;;;
3d;24;f;930;144;689;612;;526,4076367;;;;;;;
3d;24;f;936;148;689;611;;524,7647092;;;;;;;
3d;24;f;941;153;687;610;;522,8431887;;;;;;;
3d;24;f;946;158;685;609;;521,0777293;;;;;;;
3d;24;f;952;163;684;608;;519,4699221;;;;;;;
3d;24;f;957;168;682;607;;518,0212351;;;;;;;
3d;24;f;962;173;680;606;;516,7330065;;;;;;;
3d;24;f;966;178;678;605;;515,0465998;;;;;;;
3d;24;f;971;184;676;604;;513,249452;;;;;;;
3d;24;f;976;189;672;602;;512,8206314;;;;;;;
3d;24;f;980;195;667;600;;511,8534947;;;;;;;
3d;24;f;985;201;663;598;;511,1682698;;;;;;;
3d;24;f;989;207;655;593;;510,4429449;;;;;;;
3d;24;f;993;213;643;586;;511,4968231;;;;;;;
3d;24;f;997;220;630;578;;512,6919153;;;;;;;
3d;24;f;1001;226;624;574;;513,0623744;;;;;;;
