cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;
3d;24;m;682;626;751;640;;70,40596566;;;;;;
3d;24;m;675;623;740;638;;66,70832032;;;;;;
3d;24;m;668;621;730;635;;63,56099433;;;no esperienza;;;circoalare
3d;24;m;661;618;720;632;;60,63827174;;;;;;
3d;24;m;654;615;714;630;;61,84658438;;;;;;
3d;24;m;647;612;704;626;;58,69412236;;;;;;
3d;24;m;641;609;695;623;;55,78530272;;;;;;
3d;24;m;634;605;685;619;;52,88667129;;;;;;
3d;24;m;628;602;680;617;;54,12023651;;;;;;
3d;24;m;621;598;671;612;;51,92301994;;;;mean distance;;
3d;24;m;615;594;662;609;;49,33558553;;;3d;79,29999779;;
3d;24;m;609;590;657;607;;50,92150823;;;mono;153,9751841;;
3d;24;m;603;586;648;604;;48,46648326;;;;;;
3d;24;m;597;582;639;601;;46,09772229;;;;;;
3d;24;m;591;577;632;597;;45,61797891;;;;;;
3d;24;m;585;573;628;595;;48,3011387;;;;;;
3d;24;m;580;568;618;590;;43,9089968;;;;;;
3d;24;m;574;563;611;586;;43,56604182;;;;;;
3d;24;m;569;558;605;581;;42,72001873;;;;;;
3d;24;m;564;553;601;579;;45,22167622;;;;;;
3d;24;m;559;548;595;575;;45;;;;;;
3d;24;m;554;542;589;570;;44,82186966;;;;;;
3d;24;m;550;537;583;564;;42,63801121;;;;;;
3d;24;m;545;532;580;562;;46,09772229;;;;;;
3d;24;m;541;526;575;557;;46,01086828;;;;;;
3d;24;m;537;520;570;551;;45,27692569;;;;;;
3d;24;m;533;514;565;546;;45,254834;;;;;;
3d;24;m;529;508;562;543;;48,10405388;;;;;;
3d;24;m;525;502;557;537;;47,42362281;;;;;;
3d;24;m;522;496;552;531;;46,09772229;;;;;;
3d;24;m;518;490;547;525;;45,45327271;;;;;;
3d;24;m;515;484;545;522;;48,41487375;;;;;;
3d;24;m;512;478;540;515;;46,40043103;;;;;;
3d;24;m;510;471;535;507;;43,829214;;;;;;
3d;24;m;507;465;532;500;;43,01162634;;;;;;
3d;24;m;505;458;530;496;;45,48626166;;;;;;
3d;24;m;502;452;526;488;;43,26661531;;;;;;
3d;24;m;500;445;521;479;;39,96248241;;;;;;
3d;24;m;499;439;517;469;;34,98571137;;;;;;
3d;24;m;497;432;515;464;;36,7151195;;;;;;
3d;24;m;496;425;512;454;;33,12099032;;;;;;
3d;24;m;494;419;509;443;;28,3019434;;;;;;
3d;24;m;493;412;508;438;;30,01666204;;;;;;
3d;24;m;492;405;505;427;;25,55386468;;;;;;
3d;24;m;492;398;504;416;;21,63330765;;;;;;
3d;24;m;491;391;501;404;;16,40121947;;;;;;
