cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
mono;26;m;946;563;877;639;;102,6498904;;;;;;;
mono;26;m;940;568;869;643;;103,2763284;;;;;;;
mono;26;m;935;573;861;648;;105,3612832;;;;;;;
mono;26;m;929;577;853;651;;106,0754448;;;;;;;
mono;26;m;924;582;849;653;;103,2763284;;;;;;;
mono;26;m;918;586;841;656;;104,0624812;;;;;;;
mono;26;m;912;590;833;660;;105,5509356;;;;;;;
mono;26;m;906;594;824;661;;105,8914539;;;;;;;
mono;26;m;900;598;821;662;;101,6710382;;;;;;;
mono;26;m;894;602;814;663;;100,6031809;;;;;;;
mono;26;m;888;605;808;664;;99,40321926;;;;;;;
mono;26;m;882;609;801;665;;98,47334665;;;;;;;
mono;26;m;875;612;797;666;;94,86832981;;;;;;;
mono;26;m;869;615;790;666;;94,03190948;;;;;;;
mono;26;m;862;618;782;666;;93,29523032;;;;;;;
mono;26;m;856;621;775;666;;92,66067127;;;;;;;
mono;26;m;849;624;771;666;;88,58893836;;;;;;;
mono;26;m;843;626;763;665;;89;;;;;;;
mono;26;m;836;628;755;664;;88,63972022;;;;;;;
mono;26;m;829;630;747;662;;88,02272434;;;;;;;
mono;26;m;823;632;743;661;;85,0940656;;;;;;;
mono;26;m;816;634;735;659;;84,77027781;;;;;;;
mono;26;m;809;636;727;657;;84,64632302;;;;;;;
mono;26;m;802;637;719;655;;84,92938243;;;;;;;
mono;26;m;796;638;715;654;;82,56512581;;;;;;;
mono;26;m;789;639;706;650;;83,72574276;;;;;;;
mono;26;m;782;640;699;647;;83,29465769;;;;;;;
mono;26;m;775;641;695;645;;80,09993758;;;;;;;
mono;26;m;768;641;688;641;;80;;;;;;;
mono;26;m;761;641;679;637;;82,09750301;;;;;;;
mono;26;m;753;641;671;634;;82,29823813;;;;;;;
mono;26;m;746;640;666;631;;80,50465825;;;;;;;
mono;26;m;738;639;656;627;;82,87339742;;;;;;;
mono;26;m;731;638;645;623;;87,29833904;;;;;;;
mono;26;m;723;636;636;618;;88,84255737;;;;;;;
mono;26;m;716;635;632;616;;86,12200648;;;;;;;
mono;26;m;708;633;622;612;;88,52683209;;;;;;;
mono;26;m;701;631;612;608;;91,92388155;;;;;;;
mono;26;m;694;629;602;603;;95,60334722;;;;;;;
mono;26;m;687;627;594;599;;97,12363255;;;;;;;
mono;26;m;680;625;589;596;;95,50916186;;;;;;;
mono;26;m;672;622;580;591;;97,08243919;;;;;;;
mono;26;m;665;620;573;586;;98,08159868;;;;;;;
mono;26;m;659;617;569;583;;96,20810777;;;;;;;
mono;26;m;652;614;562;577;;97,30878686;;;;;;;
mono;26;m;645;611;555;570;;98,89893832;;;;;;;
mono;26;m;638;607;548;562;;100,623059;;;;;;;
mono;26;m;632;604;544;557;;99,76472322;;;;;;;
mono;26;m;625;600;537;549;;101,7103731;;;;;;;
mono;26;m;619;596;530;539;;105,6882207;;;;;;;
mono;26;m;613;592;523;527;;111,0180166;;;;;;;
mono;26;m;607;588;520;521;;109,808925;;;;;;;
mono;26;m;601;584;515;508;;114,7693339;;;;;;;
mono;26;m;595;580;510;493;;121,6305883;;;;;;;
mono;26;m;589;575;506;477;;128,4250754;;;;;;;
mono;26;m;583;571;504;468;;129,8075499;;;;;;;
mono;26;m;578;566;502;454;;135,3513945;;;;;;;
mono;26;m;572;561;500;439;;141,6615685;;;;;;;
mono;26;m;567;556;500;425;;147,1393897;;;;;;;
mono;26;m;562;551;500;418;;146,7412689;;;;;;;
mono;26;m;557;546;500;403;;153,9415473;;;;;;;
mono;26;m;552;540;500;389;;159,7028491;;;;;;;
mono;26;m;548;535;501;374;;167,7200048;;;;;;;
mono;26;m;543;529;501;361;;173,1704363;;;;;;;
mono;26;m;539;524;501;355;;173,2195139;;;;;;;
mono;26;m;535;518;502;342;;179,0670266;;;;;;;
mono;26;m;531;512;502;331;;183,3084832;;;;;;;
mono;26;m;527;506;503;325;;182,5842271;;;;;;;
mono;26;m;524;500;504;314;;187,0721786;;;;;;;
mono;26;m;520;494;505;304;;190,5911855;;;;;;;
mono;26;m;517;488;506;293;;195,31001;;;;;;;
mono;26;m;514;482;507;288;;194,1262476;;;;;;;
mono;26;m;511;475;510;278;;197,0025381;;;;;;;
mono;26;m;509;469;512;270;;199,0226118;;;;;;;
mono;26;m;506;462;516;262;;200,2498439;;;;;;;
mono;26;m;504;456;518;258;;198,4943324;;;;;;;
mono;26;m;502;449;523;248;;202,0940375;;;;;;;
mono;26;m;500;443;531;238;;207,3306538;;;;;;;
mono;26;m;498;436;538;226;;213,7755833;;;;;;;
mono;26;m;496;429;542;221;;213,02582;;;;;;;
mono;26;m;495;423;550;212;;218,0504529;;;;;;;
mono;26;m;494;416;559;203;;222,6971037;;;;;;;
mono;26;m;493;409;563;197;;223,2576986;;;;;;;
mono;26;m;492;402;575;187;;230,4647478;;;;;;;
mono;26;m;492;396;587;177;;238,7174062;;;;;;;
mono;26;m;491;389;600;166;;248,2136177;;;;;;;
mono;26;m;491;382;607;162;;248,7086649;;;;;;;
mono;26;m;491;375;620;152;;257,6237567;;;;;;;
mono;26;m;491;368;633;143;;266,0620228;;;;;;;
mono;26;m;491;361;645;135;;273,4812608;;;;;;;
mono;26;m;491;353;655;127;;279,2346683;;;;;;;
mono;26;m;491;346;661;123;;280,4086304;;;;;;;
mono;26;m;491;338;672;116;;286,4349839;;;;;;;
mono;26;m;492;331;682;110;;291,446393;;;;;;;
mono;26;m;493;323;687;107;;290,3308458;;;;;;;
mono;26;m;493;316;698;100;;297,7935527;;;;;;;
mono;26;m;494;309;707;95;;301,9354236;;;;;;;
mono;26;m;496;301;716;89;;305,5225033;;;;;;;
mono;26;m;497;294;721;86;;305,6795708;;;;;;;
mono;26;m;499;287;730;82;;308,8462401;;;;;;;
mono;26;m;501;280;737;78;;310,6444913;;;;;;;
mono;26;m;503;273;743;75;;311,1334119;;;;;;;
mono;26;m;505;266;745;74;;307,3499634;;;;;;;
mono;26;m;507;259;750;72;;306,6235477;;;;;;;
mono;26;m;510;252;756;70;;306,0065359;;;;;;;
mono;26;m;512;245;761;68;;305,4995908;;;;;;;
mono;26;m;516;238;763;68;;299,848295;;;;;;;
mono;26;m;519;232;767;67;;297,8741345;;;;;;;
mono;26;m;522;225;769;66;;293,7515957;;;;;;;
mono;26;m;525;219;772;66;;290,5477586;;;;;;;
mono;26;m;529;213;773;66;;284,8596145;;;;;;;
mono;26;m;533;207;776;66;;280,9448344;;;;;;;
mono;26;m;537;201;778;66;;276,2354069;;;;;;;
mono;26;m;541;195;780;66;;271,5916052;;;;;;;
mono;26;m;545;189;782;66;;267,0168534;;;;;;;
mono;26;m;550;183;784;66;;261,6199534;;;;;;;
mono;26;m;555;178;786;66;;256,7196915;;;;;;;
mono;26;m;559;172;789;66;;253,2508638;;;;;;;
mono;26;m;564;167;791;66;;248,4552274;;;;;;;
mono;26;m;570;162;793;66;;242,7859139;;;;;;;
mono;26;m;575;157;795;66;;238,0777184;;;;;;;
mono;26;m;580;153;797;66;;233,7905045;;;;;;;
mono;26;m;591;143;799;67;;221,4497686;;;;;;;
mono;26;m;597;139;800;67;;215,3903433;;;;;;;
mono;26;m;603;135;801;67;;209,3513793;;;;;;;
mono;26;m;609;131;803;67;;204,2841159;;;;;;;
mono;26;m;615;127;805;67;;199,2485885;;;;;;;
mono;26;m;622;124;806;67;;192,6265818;;;;;;;
mono;26;m;628;120;808;68;;187,3606149;;;;;;;
mono;26;m;641;114;811;69;;175,855054;;;;;;;
mono;26;m;648;111;813;70;;170,0176461;;;;;;;
mono;26;m;655;109;814;70;;163,7131638;;;;;;;
mono;26;m;662;106;818;71;;159,8780785;;;;;;;
mono;26;m;669;104;821;72;;155,3319027;;;;;;;
mono;26;m;676;102;824;73;;150,8144555;;;;;;;
mono;26;m;683;100;826;74;;145,3444185;;;;;;;
mono;26;m;690;98;829;75;;140,890028;;;;;;;
mono;26;m;697;96;831;76;;135,4843164;;;;;;;
mono;26;m;704;95;835;77;;132,2308587;;;;;;;
mono;26;m;712;94;838;78;;127,0118105;;;;;;;
mono;26;m;719;93;841;80;;122,6906679;;;;;;;
mono;26;m;727;92;847;83;;120,3370267;;;;;;;
mono;26;m;734;92;853;85;;119,2057046;;;;;;;
mono;26;m;742;91;856;86;;114,1095964;;;;;;;
mono;26;m;749;91;862;89;;113,0176977;;;;;;;
mono;26;m;757;91;867;91;;110;;;;;;;
mono;26;m;764;91;873;94;;109,0412766;;;;;;;
mono;26;m;771;91;879;97;;108,1665383;;;;;;;
mono;26;m;778;91;881;99;;103,3102125;;;;;;;
mono;26;m;785;91;886;101;;101,4938422;;;;;;;
mono;26;m;792;91;891;104;;99,84988733;;;;;;;
mono;26;m;799;92;893;105;;94,89467846;;;;;;;
mono;26;m;805;93;897;108;;93,21480569;;;;;;;
mono;26;m;812;93;902;111;;91,78235124;;;;;;;
mono;26;m;819;94;906;114;;89,26925563;;;;;;;
mono;26;m;826;96;909;116;;85,37564055;;;;;;;
mono;26;m;832;97;913;120;;84,20213774;;;;;;;
mono;26;m;839;99;918;124;;82,86132994;;;;;;;
mono;26;m;846;100;920;127;;78,77182237;;;;;;;
mono;26;m;852;103;926;133;;79,84985911;;;;;;;
mono;26;m;859;105;931;141;;80,49844719;;;;;;;
mono;26;m;865;107;936;149;;82,49242389;;;;;;;
mono;26;m;872;110;942;158;;84,8763807;;;;;;;
mono;26;m;878;112;945;163;;84,20213774;;;;;;;
mono;26;m;884;115;950;175;;89,19641248;;;;;;;
mono;26;m;891;119;956;189;;95,52486587;;;;;;;
mono;26;m;897;122;963;202;;103,7111373;;;;;;;
mono;26;m;903;125;966;208;;104,2017274;;;;;;;
mono;26;m;909;129;974;222;;113,4636506;;;;;;;
mono;26;m;915;133;981;235;;121,4907404;;;;;;;
mono;26;m;921;137;985;243;;123,8224535;;;;;;;
mono;26;m;926;141;992;257;;133,461605;;;;;;;
mono;26;m;932;145;997;269;;140,0035714;;;;;;;
mono;26;m;937;150;1003;281;;146,6867411;;;;;;;
mono;26;m;943;155;1006;286;;145,361618;;;;;;;
mono;26;m;948;159;1010;294;;148,5563866;;;;;;;
mono;26;m;953;164;1013;301;;149,5626959;;;;;;;
mono;26;m;958;169;1016;308;;150,6154043;;;;;;;
mono;26;m;963;175;1018;314;;149,4857853;;;;;;;
mono;26;m;968;180;1019;317;;146,1848145;;;;;;;
mono;26;m;973;186;1021;322;;144,222051;;;;;;;
mono;26;m;977;191;1024;327;;143,8923209;;;;;;;
mono;26;m;982;197;1025;330;;139,778396;;;;;;;
mono;26;m;986;203;1027;335;;138,2208378;;;;;;;
mono;26;m;990;209;1029;339;;135,7239846;;;;;;;
mono;26;m;994;215;1030;343;;132,9661611;;;;;;;
mono;26;m;998;222;1031;346;;128,3160161;;;;;;;
mono;26;m;1002;228;1032;350;;125,6343902;;;;;;;
mono;26;m;1005;235;1034;355;;123,454445;;;;;;;
mono;26;m;1009;241;1034;359;;120,6192356;;;;;;;
mono;26;m;1012;248;1034;361;;115,1216748;;;;;;;
mono;26;m;1015;255;1034;366;;112,6143863;;;;;;;
mono;26;m;1018;262;1034;372;;111,1575459;;;;;;;
mono;26;m;1021;268;1034;378;;110,7655181;;;;;;;
mono;26;m;1023;276;1034;380;;104,5801128;;;;;;;
mono;26;m;1026;283;1034;385;;102,3132445;;;;;;;
mono;26;m;1028;290;1033;391;;101,1236866;;;;;;;
mono;26;m;1030;297;1032;398;;101,0198;;;;;;;
mono;26;m;1032;304;1031;402;;98,00510191;;;;;;;
mono;26;m;1034;312;1030;410;;98,08159868;;;;;;;
