cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
mono;24;f;504;267;617;126;;180,69311;;;;;;;
mono;24;f;506;261;618;125;;176,1817244;;;;;;;
mono;24;f;509;254;621;122;;173,1126801;;;no esperienza;;;;circolare
mono;24;f;512;247;624;120;;169,3310367;;;;;;;
mono;24;f;515;240;629;118;;166,9730517;;;;;;;
mono;24;f;518;234;632;117;;163,3554407;;;;;;;
mono;24;f;521;227;641;115;;164,1462762;;;;;;;
mono;24;f;524;221;648;113;;164,4384383;;;;;;;
mono;24;f;528;214;656;112;;163,6704005;;;;;;;
mono;24;f;532;208;660;111;;160,6019925;;;;mean distance;;;
mono;24;f;536;202;670;110;;162,5423022;;;3d;303,0491199;;;
mono;24;f;540;196;678;109;;163,1349135;;;mono;135,5048173;;;
mono;24;f;544;191;682;109;;160,5241415;;;;;;;
mono;24;f;549;185;693;107;;163,7681288;;;;;;;
mono;24;f;553;179;704;106;;167,7200048;;;;;;;
mono;24;f;558;174;714;105;;170,5784277;;;;;;;
mono;24;f;563;169;721;104;;170,8478856;;;;;;;
mono;24;f;568;164;734;103;;176,8530463;;;;;;;
mono;24;f;573;159;745;102;;181,1987859;;;;;;;
mono;24;f;579;154;760;101;;188,600106;;;;;;;
mono;24;f;584;149;766;101;;188,2232717;;;;;;;
mono;24;f;590;145;779;101;;194,0541162;;;;;;;
mono;24;f;596;140;793;101;;200,8233054;;;;;;;
mono;24;f;602;136;803;101;;204,0245083;;;;;;;
mono;24;f;608;132;809;101;;203,3764982;;;;;;;
mono;24;f;614;128;821;103;;208,5041966;;;;;;;
mono;24;f;620;125;830;105;;210,9502311;;;;;;;
mono;24;f;626;121;838;107;;212,4617613;;;;;;;
mono;24;f;633;118;842;108;;209,2390977;;;;;;;
mono;24;f;639;115;851;110;;212,0589541;;;;;;;
mono;24;f;646;112;857;113;;211,0023697;;;;;;;
mono;24;f;653;109;863;116;;210,1166343;;;;;;;
mono;24;f;660;107;866;119;;206,3492186;;;;;;;
mono;24;f;667;104;873;123;;206,874358;;;;;;;
