cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;;;;;
mono;21;f;854;103;782;92;;72,83543094;;;;;;;;;;;
mono;21;f;861;105;785;93;;76,94153625;;;;;;;;;;;
mono;21;f;861;105;792;95;;69,72087205;;;con esperienza musucale;;;;;meglio mono;;;batteria
mono;21;f;867;108;795;96;;72,99315036;;;;;;;;;;;
mono;21;f;874;110;802;98;;72,99315036;;;;;;;;;;;
mono;21;f;880;113;811;102;;69,87131028;;;;;;;;;;;
mono;21;f;886;116;822;107;;64,62971453;;;;;;;;;;;
mono;21;f;892;120;838;113;;54,45181356;;;;;;;;;;;
mono;21;f;899;123;852;120;;47,09564736;;;;;;;;;;;
mono;21;f;905;126;866;127;;39,01281841;;;;mean distance;;;;;;;
mono;21;f;911;130;878;134;;33,24154028;;;3d;84,92939323;;;;;;;
mono;21;f;916;134;888;139;;28,44292531;;;mono;60,91261805;;;;;;;
mono;21;f;922;138;897;144;;25,70992026;;;;;;;;;;;
mono;21;f;928;142;905;147;;23,53720459;;;;;;;;;;;
mono;21;f;933;147;912;151;;21,37755833;;;;;;;;;;;
mono;21;f;939;151;915;153;;24,08318916;;;;;;;;;;;
mono;21;f;944;156;921;158;;23,08679276;;;;;;;;;;;
mono;21;f;950;161;927;163;;23,08679276;;;;;;;;;;;
mono;21;f;955;166;933;168;;22,09072203;;;;;;;;;;;
mono;21;f;960;171;937;173;;23,08679276;;;;;;;;;;;
mono;21;f;965;176;944;179;;21,21320344;;;;;;;;;;;
mono;21;f;969;182;951;187;;18,68154169;;;;;;;;;;;
mono;21;f;974;187;958;196;;18,35755975;;;;;;;;;;;
mono;21;f;979;193;964;202;;17,49285568;;;;;;;;;;;
mono;21;f;983;199;969;208;;16,64331698;;;;;;;;;;;
mono;21;f;987;205;973;213;;16,1245155;;;;;;;;;;;
mono;21;f;992;211;977;219;;17;;;;;;;;;;;
mono;21;f;995;217;979;221;;16,4924225;;;;;;;;;;;
mono;21;f;999;223;983;227;;16,4924225;;;;;;;;;;;
mono;21;f;1003;230;989;236;;15,23154621;;;;;;;;;;;
mono;21;f;1006;236;991;239;;15,29705854;;;;;;;;;;;
mono;21;f;1010;243;996;245;;14,14213562;;;;;;;;;;;
mono;21;f;1013;250;1000;252;;13,15294644;;;;;;;;;;;
mono;21;f;1016;257;1003;258;;13,03840481;;;;;;;;;;;
mono;21;f;1019;264;1007;264;;12;;;;;;;;;;;
mono;21;f;1022;271;1010;270;;12,04159458;;;;;;;;;;;
mono;21;f;1024;278;1013;278;;11;;;;;;;;;;;
mono;21;f;1027;285;1015;285;;12;;;;;;;;;;;
mono;21;f;1029;292;1017;292;;12;;;;;;;;;;;
mono;21;f;1031;299;1018;297;;13,15294644;;;;;;;;;;;
mono;21;f;1033;306;1019;303;;14,31782106;;;;;;;;;;;
mono;21;f;1034;314;1020;310;;14,56021978;;;;;;;;;;;
mono;21;f;1036;321;1021;313;;17;;;;;;;;;;;
