cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;
3d;27;m;494;315;487;406;;91,26883367;;;;;;
3d;27;m;495;307;484;399;;92,65527508;;;;;;
3d;27;m;496;300;482;390;;91,08238029;;;no espeienza;;;circolare
3d;27;m;497;293;480;377;;85,70297544;;;;;;
3d;27;m;499;285;479;370;;87,32124598;;;;;;
3d;27;m;501;278;478;355;;80,36168241;;;;;;
3d;27;m;503;271;478;342;;75,27283707;;;;;;
3d;27;m;505;264;478;337;;77,83315489;;;;;;
3d;27;m;508;257;479;325;;73,92563831;;;;;;
3d;27;m;510;250;482;309;;65,30696747;;;;mean distance;;
3d;27;m;513;244;486;289;;52,47856705;;;3d;328,7766889;;
3d;27;m;516;237;488;280;;51,31276644;;;mono;395,7977624;;
3d;27;m;519;231;493;262;;40,45985665;;;;;;
3d;27;m;523;224;497;246;;34,05877273;;;;;;
3d;27;m;526;218;500;234;;30,52867504;;;;;;
3d;27;m;530;212;503;227;;30,88689042;;;;;;
3d;27;m;534;205;507;217;;29,54657341;;;;;;
3d;27;m;538;199;511;207;;28,16025568;;;;;;
3d;27;m;542;194;518;196;;24,08318916;;;;;;
3d;27;m;546;188;522;192;;24,33105012;;;;;;
3d;27;m;551;182;527;185;;24,18677324;;;;;;
3d;27;m;556;177;533;178;;23,02172887;;;;;;
3d;27;m;560;171;540;170;;20,02498439;;;;;;
3d;27;m;565;166;545;166;;20;;;;;;
3d;27;m;571;161;553;158;;18,24828759;;;;;;
3d;27;m;576;156;562;151;;14,86606875;;;;;;
3d;27;m;581;152;573;143;;12,04159458;;;;;;
3d;27;m;587;147;579;139;;11,3137085;;;;;;
3d;27;m;593;143;589;132;;11,70469991;;;;;;
3d;27;m;598;138;601;123;;15,29705854;;;;;;
3d;27;m;604;134;612;117;;18,78829423;;;;;;
3d;27;m;610;130;617;114;;17,4642492;;;;;;
3d;27;m;617;127;627;109;;20,59126028;;;;;;
3d;27;m;623;123;638;104;;24,20743687;;;;;;
3d;27;m;629;120;643;102;;22,8035085;;;;;;
3d;27;m;636;117;654;96;;27,65863337;;;;;;
3d;27;m;642;114;666;91;;33,24154028;;;;;;
3d;27;m;649;111;677;86;;37,53664876;;;;;;
3d;27;m;656;108;683;85;;35,4682957;;;;;;
3d;27;m;663;106;694;82;;39,20459157;;;;;;
3d;27;m;670;103;703;79;;40,80441153;;;;;;
3d;27;m;677;101;712;77;;42,43819035;;;;;;
