cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;;;;;
3d;20;m;778;91;780;78;;13,15294644;;;;;;;;;;;
3d;20;m;785;91;782;78;;13,34166406;;;;;;;;;;;
3d;20;m;785;91;784;78;;13,03840481;;;;;;;;;;;
3d;20;m;792;91;789;78;;13,34166406;;;;con esperienza musicale;;;;;3d;;chitarra
3d;20;m;799;92;792;78;;15,65247584;;;;;;;;;;;
3d;20;m;805;92;796;78;;16,64331698;;;;;;;;;;;
3d;20;m;812;93;801;79;;17,80449381;;;;;;;;;;;
3d;20;m;819;94;805;81;;19,10497317;;;;;;;;;;;
3d;20;m;826;96;811;83;;19,84943324;;;;;;;;;;;
3d;20;m;832;97;818;85;;18,43908891;;;;mean distance;;;;;;;
3d;20;m;839;99;824;87;;19,20937271;;;3d;120,1682648;;;;;;;
3d;20;m;846;101;829;89;;20,80865205;;;mono;122,7285766;;;;;;;
3d;20;m;852;103;835;91;;20,80865205;;;;;;;;;;;
3d;20;m;859;105;840;94;;21,9544984;;;;;;;;;;;
3d;20;m;865;107;848;97;;19,72308292;;;;;;;;;;;
3d;20;m;872;110;854;99;;21,09502311;;;;;;;;;;;
3d;20;m;878;112;858;103;;21,9317122;;;;;;;;;;;
3d;20;m;884;115;861;104;;25,49509757;;;;;;;;;;;
3d;20;m;891;119;866;108;;27,31300057;;;;;;;;;;;
3d;20;m;897;122;871;113;;27,51363298;;;;;;;;;;;
3d;20;m;903;125;877;119;;26,68332813;;;;;;;;;;;
3d;20;m;909;129;884;125;;25,3179778;;;;;;;;;;;
3d;20;m;915;133;890;130;;25,17935662;;;;;;;;;;;
3d;20;m;921;137;895;135;;26,07680962;;;;;;;;;;;
3d;20;m;926;141;900;140;;26,01922366;;;;;;;;;;;
3d;20;m;932;145;907;146;;25,01999201;;;;;;;;;;;
3d;20;m;937;150;913;151;;24,0208243;;;;;;;;;;;
3d;20;m;943;155;918;155;;25;;;;;;;;;;;
3d;20;m;948;159;923;159;;25;;;;;;;;;;;
3d;20;m;953;164;928;164;;25;;;;;;;;;;;
3d;20;m;958;169;930;167;;28,0713377;;;;;;;;;;;
3d;20;m;963;175;937;175;;26;;;;;;;;;;;
3d;20;m;968;180;940;177;;28,16025568;;;;;;;;;;;
3d;20;m;973;186;946;184;;27,07397274;;;;;;;;;;;
3d;20;m;977;191;950;191;;27;;;;;;;;;;;
3d;20;m;982;197;955;199;;27,07397274;;;;;;;;;;;
3d;20;m;986;203;959;205;;27,07397274;;;;;;;;;;;
3d;20;m;990;209;963;212;;27,16615541;;;;;;;;;;;
3d;20;m;994;215;968;221;;26,68332813;;;;;;;;;;;
3d;20;m;998;222;974;229;;25;;;;;;;;;;;
3d;20;m;1002;228;979;238;;25,07987241;;;;;;;;;;;
3d;20;m;1005;235;985;247;;23,32380758;;;;;;;;;;;
3d;20;m;1009;241;991;256;;23,43074903;;;;;;;;;;;
3d;20;m;1012;248;996;264;;22,627417;;;;;;;;;;;
3d;20;m;1015;255;1002;275;;23,85372088;;;;;;;;;;;
3d;20;m;1018;261;1008;286;;26,92582404;;;;;;;;;;;
3d;20;m;1021;268;1011;292;;26;;;;;;;;;;;
3d;20;m;1023;275;1015;301;;27,20294102;;;;;;;;;;;
3d;20;m;1026;283;1021;312;;29,42787794;;;;;;;;;;;
3d;20;m;1028;290;1025;322;;32,14031736;;;;;;;;;;;
3d;20;m;1030;297;1030;331;;34;;;;;;;;;;;
3d;20;m;1032;304;1034;342;;38,05259518;;;;;;;;;;;
3d;20;m;1034;312;1037;351;;39,11521443;;;;;;;;;;;
3d;20;m;1036;319;1042;364;;45,39823785;;;;;;;;;;;
3d;20;m;1037;327;1045;372;;45,70557953;;;;;;;;;;;
3d;20;m;1038;334;1048;384;;50,99019514;;;;;;;;;;;
3d;20;m;1040;349;1049;391;;42,95346319;;;;;;;;;;;
3d;20;m;1041;357;1050;399;;42,95346319;;;;;;;;;;;
3d;20;m;1041;364;1050;404;;41;;;;;;;;;;;
3d;20;m;1041;371;1050;411;;41;;;;;;;;;;;
3d;20;m;1041;378;1050;418;;41;;;;;;;;;;;
3d;20;m;1040;385;1049;425;;41;;;;;;;;;;;
3d;20;m;1039;392;1048;433;;41,97618372;;;;;;;;;;;
3d;20;m;1038;399;1047;440;;41,97618372;;;;;;;;;;;
3d;20;m;1036;405;1045;447;;42,95346319;;;;;;;;;;;
3d;20;m;1035;412;1042;456;;44,55333882;;;;;;;;;;;
3d;20;m;1033;419;1039;465;;46,38965402;;;;;;;;;;;
3d;20;m;1031;426;1036;473;;47,26520919;;;;;;;;;;;
3d;20;m;1029;432;1032;481;;49,09175083;;;;;;;;;;;
3d;20;m;1027;439;1029;490;;51,03920062;;;;;;;;;;;
3d;20;m;1025;446;1026;499;;53,00943312;;;;;;;;;;;
3d;20;m;1022;452;1022;508;;56;;;;;;;;;;;
3d;20;m;1020;459;1018;516;;57,03507693;;;;;;;;;;;
3d;20;m;1017;465;1016;520;;55,00909016;;;;;;;;;;;
3d;20;m;1014;472;1012;528;;56,0357029;;;;;;;;;;;
3d;20;m;1011;478;1007;535;;57,14017851;;;;;;;;;;;
3d;20;m;1007;484;1002;541;;57,218878;;;;;;;;;;;
3d;20;m;1004;491;998;546;;55,32630477;;;;;;;;;;;
3d;20;m;1000;497;994;552;;55,32630477;;;;;;;;;;;
3d;20;m;997;503;989;558;;55,57877293;;;;;;;;;;;
3d;20;m;993;509;985;562;;53,60037313;;;;;;;;;;;
3d;20;m;989;515;980;567;;52,77309921;;;;;;;;;;;
3d;20;m;984;520;974;571;;51,97114584;;;;;;;;;;;
3d;20;m;980;526;969;576;;51,19570294;;;;;;;;;;;
3d;20;m;975;532;963;581;;50,44799302;;;;;;;;;;;
3d;20;m;971;537;961;583;;47,07440918;;;;;;;;;;;
3d;20;m;966;543;955;588;;46,32493929;;;;;;;;;;;
3d;20;m;961;548;948;593;;46,84015371;;;;;;;;;;;
3d;20;m;956;553;942;598;;47,12748667;;;;;;;;;;;
3d;20;m;951;558;937;602;;46,17358552;;;;;;;;;;;
3d;20;m;946;563;931;606;;45,54119015;;;;;;;;;;;
3d;20;m;941;568;927;610;;44,27188724;;;;;;;;;;;
3d;20;m;935;573;920;615;;44,59820624;;;;;;;;;;;
3d;20;m;930;577;914;619;;44,94441011;;;;;;;;;;;
3d;20;m;924;582;909;623;;43,65775991;;;;;;;;;;;
3d;20;m;918;586;903;626;;42,72001873;;;;;;;;;;;
3d;20;m;912;590;899;630;;42,05948169;;;;;;;;;;;
3d;20;m;906;594;893;633;;41,10960958;;;;;;;;;;;
3d;20;m;900;598;887;636;;40,16217126;;;;;;;;;;;
3d;20;m;894;602;881;638;;38,27531842;;;;;;;;;;;
3d;20;m;888;605;879;640;;36,138622;;;;;;;;;;;
3d;20;m;882;609;874;642;;33,95585369;;;;;;;;;;;
3d;20;m;876;612;869;644;;32,75667871;;;;;;;;;;;
3d;20;m;869;615;865;647;;32,24903099;;;;;;;;;;;
3d;20;m;863;618;860;650;;32,14031736;;;;;;;;;;;
3d;20;m;856;621;853;653;;32,14031736;;;;;;;;;;;
3d;20;m;850;623;848;655;;32,06243908;;;;;;;;;;;
3d;20;m;843;626;842;657;;31,01612484;;;;;;;;;;;
3d;20;m;836;628;837;659;;31,01612484;;;;;;;;;;;
3d;20;m;830;630;831;661;;31,01612484;;;;;;;;;;;
3d;20;m;823;632;824;663;;31,01612484;;;;;;;;;;;
3d;20;m;816;634;818;665;;31,06444913;;;;;;;;;;;
3d;20;m;809;635;816;665;;30,8058436;;;;;;;;;;;
3d;20;m;803;637;807;667;;30,2654919;;;;;;;;;;;
3d;20;m;796;638;800;668;;30,2654919;;;;;;;;;;;
3d;20;m;789;639;796;668;;29,83286778;;;;;;;;;;;
3d;20;m;782;640;791;669;;30,3644529;;;;;;;;;;;
3d;20;m;775;641;785;669;;29,73213749;;;;;;;;;;;
3d;20;m;769;641;779;669;;29,73213749;;;;;;;;;;;
3d;20;m;761;641;772;670;;31,01612484;;;;;;;;;;;
3d;20;m;754;641;764;670;;30,6757233;;;;;;;;;;;
3d;20;m;746;640;758;670;;32,31098884;;;;;;;;;;;
3d;20;m;739;639;751;670;;33,24154028;;;;;;;;;;;
3d;20;m;731;638;745;669;;34,0147027;;;;;;;;;;;
3d;20;m;724;636;736;669;;35,11409973;;;;;;;;;;;
3d;20;m;716;635;729;668;;35,4682957;;;;;;;;;;;
3d;20;m;709;633;722;667;;36,40054945;;;;;;;;;;;
3d;20;m;702;631;718;666;;38,48376281;;;;;;;;;;;
3d;20;m;694;629;711;665;;39,81205847;;;;;;;;;;;
3d;20;m;687;627;699;663;;37,94733192;;;;;;;;;;;
3d;20;m;680;625;695;662;;39,92492956;;;;;;;;;;;
3d;20;m;673;622;688;661;;41,78516483;;;;;;;;;;;
3d;20;m;666;620;680;659;;41,43669871;;;;;;;;;;;
3d;20;m;659;617;672;657;;42,05948169;;;;;;;;;;;
3d;20;m;652;614;666;655;;43,32435804;;;;;;;;;;;
3d;20;m;645;611;659;653;;44,27188724;;;;;;;;;;;
3d;20;m;639;607;653;651;;46,17358552;;;;;;;;;;;
3d;20;m;632;604;645;648;;45,88027899;;;;;;;;;;;
3d;20;m;625;600;638;645;;46,84015371;;;;;;;;;;;
3d;20;m;619;597;631;642;;46,57252409;;;;;;;;;;;
3d;20;m;613;593;624;639;;47,29693436;;;;;;;;;;;
3d;20;m;607;589;617;636;;48,05205511;;;;;;;;;;;
3d;20;m;601;584;613;634;;51,41984053;;;;;;;;;;;
3d;20;m;595;580;607;631;;52,39274759;;;;;;;;;;;
3d;20;m;589;576;600;626;;51,19570294;;;;;;;;;;;
3d;20;m;584;571;595;623;;53,15072906;;;;;;;;;;;
3d;20;m;578;566;589;619;;54,12947441;;;;;;;;;;;
3d;20;m;573;561;583;614;;53,93514624;;;;;;;;;;;
3d;20;m;567;556;577;611;;55,90169944;;;;;;;;;;;
3d;20;m;562;551;572;607;;56,88585061;;;;;;;;;;;
3d;20;m;557;546;567;603;;57,87054518;;;;;;;;;;;
3d;20;m;553;541;563;599;;58,85575588;;;;;;;;;;;
3d;20;m;548;535;558;594;;59,8414572;;;;;;;;;;;
3d;20;m;544;530;552;589;;59,53990259;;;;;;;;;;;
3d;20;m;539;524;550;587;;63,95310782;;;;;;;;;;;
3d;20;m;535;518;546;583;;65,9241989;;;;;;;;;;;
3d;20;m;531;512;542;579;;67,89698079;;;;;;;;;;;
3d;20;m;528;506;537;574;;68,59300256;;;;;;;;;;;
3d;20;m;524;500;533;569;;69,58448103;;;;;;;;;;;
3d;20;m;521;494;529;564;;70,45565982;;;;;;;;;;;
3d;20;m;517;488;525;559;;71,44928271;;;;;;;;;;;
3d;20;m;514;482;521;555;;73,33484847;;;;;;;;;;;
3d;20;m;511;476;517;550;;74,24284477;;;;;;;;;;;
3d;20;m;509;469;514;545;;76,1642961;;;;;;;;;;;
3d;20;m;506;463;510;539;;76,10519036;;;;;;;;;;;
3d;20;m;504;456;507;534;;78,05767099;;;;;;;;;;;
3d;20;m;502;450;504;528;;78,02563681;;;;;;;;;;;
3d;20;m;500;443;501;523;;80,00624976;;;;;;;;;;;
3d;20;m;498;436;499;518;;82,00609733;;;;;;;;;;;
3d;20;m;496;430;498;515;;85,02352616;;;;;;;;;;;
3d;20;m;495;423;495;509;;86;;;;;;;;;;;
3d;20;m;494;416;492;502;;86,02325267;;;;;;;;;;;
3d;20;m;493;410;488;496;;86,14522622;;;;;;;;;;;
3d;20;m;492;403;486;490;;87,20665112;;;;;;;;;;;
3d;20;m;492;396;483;483;;87,46427842;;;;;;;;;;;
3d;20;m;491;389;481;477;;88,5663593;;;;;;;;;;;
3d;20;m;491;382;479;470;;88,81441324;;;;;;;;;;;
3d;20;m;491;376;477;464;;89,10667764;;;;;;;;;;;
3d;20;m;491;369;475;457;;89,4427191;;;;;;;;;;;
3d;20;m;491;361;473;450;;90,80198236;;;;;;;;;;;
3d;20;m;491;354;472;443;;91,00549434;;;;;;;;;;;
3d;20;m;491;346;471;435;;91,21951546;;;;;;;;;;;
3d;20;m;491;339;471;432;;95,12623192;;;;;;;;;;;
3d;20;m;492;331;471;424;;95,34149149;;;;;;;;;;;
3d;20;m;492;324;471;416;;94,36630755;;;;;;;;;;;
3d;20;m;493;316;470;409;;95,8018789;;;;;;;;;;;
3d;20;m;494;309;470;402;;96,04686356;;;;;;;;;;;
3d;20;m;496;302;470;395;;96,56603958;;;;;;;;;;;
3d;20;m;497;294;470;387;;96,84007435;;;;;;;;;;;
3d;20;m;499;287;470;381;;98,37174391;;;;;;;;;;;
3d;20;m;500;280;470;374;;98,67117107;;;;;;;;;;;
3d;20;m;502;273;470;368;;100,2447006;;;;;;;;;;;
3d;20;m;505;266;470;362;;102,1812116;;;;;;;;;;;
3d;20;m;507;259;470;357;;104,7520883;;;;;;;;;;;
3d;20;m;510;252;470;352;;107,7032961;;;;;;;;;;;
3d;20;m;512;245;470;347;;110,3086579;;;;;;;;;;;
3d;20;m;515;239;470;344;;114,2365966;;;;;;;;;;;
3d;20;m;518;232;470;339;;117,2731853;;;;;;;;;;;
3d;20;m;522;226;470;334;;119,8665925;;;;;;;;;;;
3d;20;m;525;219;471;329;;122,5397895;;;;;;;;;;;
3d;20;m;529;213;471;325;;126,1269202;;;;;;;;;;;
3d;20;m;533;207;471;320;;128,8914272;;;;;;;;;;;
3d;20;m;537;201;471;317;;133,461605;;;;;;;;;;;
3d;20;m;541;195;471;312;;136,341483;;;;;;;;;;;
3d;20;m;545;189;471;308;;140,1320806;;;;;;;;;;;
3d;20;m;550;184;471;304;;143,6697602;;;;;;;;;;;
3d;20;m;554;178;471;300;;147,5567687;;;;;;;;;;;
3d;20;m;559;173;472;297;;151,4760707;;;;;;;;;;;
3d;20;m;564;168;473;293;;154,6156525;;;;;;;;;;;
3d;20;m;569;162;473;290;;160;;;;;;;;;;;
3d;20;m;575;158;475;286;;162,431524;;;;;;;;;;;
3d;20;m;580;153;475;284;;167,8868667;;;;;;;;;;;
3d;20;m;585;148;476;281;;171,9592975;;;;;;;;;;;
3d;20;m;591;144;477;278;;175,931805;;;;;;;;;;;
3d;20;m;597;139;478;274;;179,9611069;;;;;;;;;;;
3d;20;m;603;135;479;271;;184,0434731;;;;;;;;;;;
3d;20;m;609;131;482;267;;186,0779407;;;;;;;;;;;
