cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
mono;22;m;658;617;778;630;;120,7021127;;;;;;;
mono;22;m;652;614;774;629;;122,9186723;;;;;;;
mono;22;m;645;611;772;629;;128,2692481;;;;;;;
mono;22;m;638;607;768;629;;131,8483978;;;;;;;fissa
mono;22;m;632;604;763;628;;133,1803289;;;piano;;;;
mono;22;m;625;600;759;628;;136,8941197;;;;;;;
mono;22;m;619;596;754;627;;138,5135372;;;;;;;
mono;22;m;613;592;752;626;;143,0978686;;;;;;;
mono;22;m;607;588;747;626;;145,0655024;;;;;;;
mono;22;m;600;584;742;625;;147,8005413;;;;mean distance;;;
mono;22;m;595;580;735;624;;146,7514906;;;3d;128,1494389;;;
mono;22;m;589;575;728;622;;146,7310465;;;mono;129,6201866;;;
mono;22;m;583;571;724;621;;149,6028075;;;;;;;
mono;22;m;578;566;717;619;;148,7615542;;;;;;;
mono;22;m;572;561;708;618;;147,4618595;;;;;;;
mono;22;m;567;556;700;617;;146,3215637;;;;;;;
mono;22;m;562;551;693;616;;146,2395295;;;;;;;
mono;22;m;557;546;689;615;;148,946299;;;;;;;
mono;22;m;552;540;682;613;;149,0939301;;;;;;;
mono;22;m;548;535;675;611;;148,0033783;;;;;;;
mono;22;m;543;529;668;610;;148,9496559;;;;;;;
mono;22;m;539;524;665;608;;151,4331536;;;;;;;
mono;22;m;535;518;658;606;;151,2382227;;;;;;;
mono;22;m;531;512;651;604;;151,2084654;;;;;;;
mono;22;m;527;506;645;601;;151,4892735;;;;;;;
mono;22;m;524;500;638;598;;150,3329638;;;;;;;
mono;22;m;520;494;634;595;;152,3056138;;;;;;;
mono;22;m;517;488;628;592;;152,1085139;;;;;;;
mono;22;m;514;482;622;588;;151,3274595;;;;;;;
mono;22;m;511;475;615;584;;150,6552356;;;;;;;
mono;22;m;509;469;610;581;;150,8144555;;;;;;;
mono;22;m;506;462;607;579;;154,5639026;;;;;;;
mono;22;m;504;456;601;576;;154,3016526;;;;;;;
mono;22;m;502;449;595;573;;155;;;;;;;
mono;22;m;500;443;590;569;;154,8418548;;;;;;;
mono;22;m;498;436;587;567;;158,3729775;;;;;;;
mono;22;m;496;429;580;563;;158,1518258;;;;;;;
mono;22;m;495;423;575;559;;157,7846634;;;;;;;
mono;22;m;494;416;570;555;;158,420327;;;;;;;
mono;22;m;493;409;565;550;;158,3192976;;;;;;;
mono;22;m;492;402;563;548;;162,3483908;;;;;;;
mono;22;m;492;396;558;542;;160,224842;;;;;;;
mono;22;m;491;389;552;534;;157,3086139;;;;;;;
