cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;;
3d;23;m;1029;434;1148;86;;367,7839039;;;;;;;;
3d;23;m;799;92;786;99;;14,76482306;;;;;;;;
3d;23;m;806;93;790;99;;17,08800749;;;no esperienza;;;;;fissa
3d;23;m;813;93;796;100;;18,38477631;;;;;;;;
3d;23;m;819;94;802;102;;18,78829423;;;;;;;;
3d;23;m;826;96;808;103;;19,31320792;;;;;;;;
3d;23;m;833;97;813;104;;21,1896201;;;;;;;;
3d;23;m;839;99;819;104;;20,61552813;;;;;;;;
3d;23;m;846;101;827;105;;19,41648784;;;;;;;;
3d;23;m;853;103;835;104;;18,02775638;;;;mean distance;;;;
3d;23;m;859;105;838;104;;21,02379604;;;3d;94,96997768;;;;
3d;23;m;866;107;845;104;;21,21320344;;;mono;116,8541259;;;;
3d;23;m;872;110;852;105;;20,61552813;;;;;;;;
3d;23;m;878;113;856;105;;23,40939982;;;;;;;;
3d;23;m;885;116;863;106;;24,16609195;;;;;;;;
3d;23;m;891;119;872;107;;22,47220505;;;;;;;;
3d;23;m;897;122;879;109;;22,20360331;;;;;;;;
3d;23;m;903;126;883;110;;25,61249695;;;;;;;;
3d;23;m;909;129;892;114;;22,6715681;;;;;;;;
3d;23;m;915;133;901;117;;21,26029163;;;;;;;;
3d;23;m;921;137;907;122;;20,51828453;;;;;;;;
3d;23;m;926;141;911;126;;21,21320344;;;;;;;;
3d;23;m;932;146;918;132;;19,79898987;;;;;;;;
3d;23;m;938;150;925;139;;17,02938637;;;;;;;;
3d;23;m;943;155;933;147;;12,80624847;;;;;;;;
3d;23;m;948;160;936;151;;15;;;;;;;;
3d;23;m;953;165;942;158;;13,03840481;;;;;;;;
3d;23;m;959;170;947;164;;13,41640786;;;;;;;;
3d;23;m;963;175;953;169;;11,66190379;;;;;;;;
3d;23;m;968;180;956;171;;15;;;;;;;;
3d;23;m;973;186;961;175;;16,2788206;;;;;;;;
3d;23;m;978;192;965;180;;17,69180601;;;;;;;;
3d;23;m;982;197;970;185;;16,97056275;;;;;;;;
3d;23;m;986;203;971;187;;21,9317122;;;;;;;;
3d;23;m;990;209;974;192;;23,34523506;;;;;;;;
3d;23;m;994;216;976;194;;28,42534081;;;;;;;;
3d;23;m;998;222;979;197;;31,40063694;;;;;;;;
3d;23;m;1002;228;980;198;;37,20215048;;;;;;;;
3d;23;m;1005;235;982;200;;41,88078318;;;;;;;;
3d;23;m;1009;241;984;202;;46,32493929;;;;;;;;
3d;23;m;1012;248;987;205;;49,73932046;;;;;;;;
3d;23;m;1015;255;988;206;;55,94640292;;;;;;;;
3d;23;m;1018;262;990;207;;61,7170965;;;;;;;;
3d;23;m;1021;269;992;209;;66,64082833;;;;;;;;
3d;23;m;1024;276;995;212;;70,26378868;;;;;;;;
3d;23;m;1026;283;996;213;;76,15773106;;;;;;;;
3d;23;m;1028;290;998;216;;79,84985911;;;;;;;;
3d;23;m;1030;297;1001;219;;83,21658489;;;;;;;;
3d;23;m;1032;305;1003;221;;88,86506625;;;;;;;;
3d;23;m;1034;312;1004;223;;93,92017888;;;;;;;;
