cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;;
mono;24;m;735;638;772;643;;37,33630941;;;;;;;
mono;24;m;728;637;769;643;;41,43669871;;;;;;;
mono;24;m;720;636;762;643;;42,57933771;;;;;;;fissa
mono;24;m;713;634;755;643;;42,95346319;;;lavora con la usica (ballo);;;;
mono;24;m;705;632;747;642;;43,17406629;;;;;;;
mono;24;m;698;630;743;641;;46,32493929;;;;;;;
mono;24;m;691;628;734;640;;44,64302857;;;;;;;
mono;24;m;684;626;726;638;;43,68065934;;;;;;;
mono;24;m;676;624;722;637;;47,80167361;;;;;;;
mono;24;m;669;621;713;634;;45,88027899;;;;mean distance;;;
mono;24;m;662;618;704;629;;43,41658669;;;3d;61,78135018;;;
mono;24;m;656;615;695;623;;39,81205847;;;mono;39,17736699;;;
mono;24;m;649;612;691;620;;42,75511665;;;;;;;
mono;24;m;642;609;682;615;;40,44749683;;;;;;;
mono;24;m;635;606;673;610;;38,20994635;;;;;;;
mono;24;m;629;602;668;606;;39,20459157;;;;;;;
mono;24;m;622;599;659;600;;37,01351105;;;;;;;
mono;24;m;616;595;648;593;;32,06243908;;;;;;;
mono;24;m;610;591;644;589;;34,05877273;;;;;;;
mono;24;m;604;587;634;583;;30,2654919;;;;;;;
mono;24;m;598;582;626;576;;28,63564213;;;;;;;
mono;24;m;592;578;616;569;;25,63201124;;;;;;;
mono;24;m;586;573;611;566;;25,96150997;;;;;;;
mono;24;m;581;569;603;559;;24,16609195;;;;;;;
mono;24;m;575;564;594;553;;21,9544984;;;;;;;
mono;24;m;570;559;590;550;;21,9317122;;;;;;;
mono;24;m;565;554;582;544;;19,72308292;;;;;;;
mono;24;m;560;549;574;538;;17,80449381;;;;;;;
mono;24;m;555;543;570;534;;17,49285568;;;;;;;
mono;24;m;550;538;563;528;;16,40121947;;;;;;;
mono;24;m;546;533;556;522;;14,86606875;;;;;;;
mono;24;m;542;527;549;515;;13,89244399;;;;;;;
mono;24;m;537;521;546;511;;13,45362405;;;;;;;
mono;24;m;533;515;539;503;;13,41640786;;;;;;;
mono;24;m;530;510;532;494;;16,1245155;;;;;;;
mono;24;m;526;504;529;489;;15,29705854;;;;;;;
mono;24;m;522;498;523;479;;19,02629759;;;;;;;
mono;24;m;519;491;517;470;;21,09502311;;;;;;;
mono;24;m;516;485;515;465;;20,02498439;;;;;;;
mono;24;m;513;479;510;454;;25,17935662;;;;;;;
mono;24;m;510;473;505;444;;29,42787794;;;;;;;
mono;24;m;507;466;501;434;;32,55764119;;;;;;;
mono;24;m;505;460;500;430;;30,41381265;;;;;;;
mono;24;m;503;453;498;422;;31,40063694;;;;;;;
mono;24;m;501;447;495;413;;34,525353;;;;;;;
mono;24;m;499;440;494;409;;31,40063694;;;;;;;
mono;24;m;497;433;491;401;;32,55764119;;;;;;;
mono;24;m;496;427;489;393;;34,71310992;;;;;;;
mono;24;m;495;420;488;385;;35,6931366;;;;;;;
mono;24;m;493;413;488;381;;32,38826948;;;;;;;
mono;24;m;493;406;487;374;;32,55764119;;;;;;;
mono;24;m;492;399;487;368;;31,40063694;;;;;;;
mono;24;m;491;393;487;365;;28,28427125;;;;;;;
mono;24;m;491;386;487;358;;28,28427125;;;;;;;
mono;24;m;491;379;487;351;;28,28427125;;;;;;;
mono;24;m;491;372;487;348;;24,33105012;;;;;;;
mono;24;m;491;365;487;343;;22,36067977;;;;;;;
mono;24;m;491;358;487;337;;21,37755833;;;;;;;
mono;24;m;491;350;488;332;;18,24828759;;;;;;;
mono;24;m;491;343;489;330;;13,15294644;;;;;;;
mono;24;m;492;335;490;324;;11,18033989;;;;;;;
mono;24;m;492;328;491;319;;9,055385138;;;;;;;
mono;24;m;493;320;492;317;;3,16227766;;;;;;;
mono;24;m;494;313;493;311;;2,236067977;;;;;;;
mono;24;m;495;305;494;306;;1,414213562;;;;;;;
mono;24;m;496;298;494;304;;6,32455532;;;;;;;
mono;24;m;498;291;495;299;;8,544003745;;;;;;;
mono;24;m;499;284;497;292;;8,246211251;;;;;;;
mono;24;m;501;277;499;284;;7,280109889;;;;;;;
mono;24;m;503;269;500;280;;11,40175425;;;;;;;
mono;24;m;506;262;503;272;;10,44030651;;;;;;;
mono;24;m;508;256;506;263;;7,280109889;;;;;;;
mono;24;m;511;249;508;259;;10,44030651;;;;;;;
mono;24;m;514;242;512;251;;9,219544457;;;;;;;
mono;24;m;517;235;517;244;;9;;;;;;;
mono;24;m;520;229;522;236;;7,280109889;;;;;;;
mono;24;m;523;223;524;232;;9,055385138;;;;;;;
mono;24;m;527;216;529;224;;8,246211251;;;;;;;
mono;24;m;531;210;533;217;;7,280109889;;;;;;;
mono;24;m;535;204;535;214;;10;;;;;;;
mono;24;m;539;198;540;208;;10,04987562;;;;;;;
mono;24;m;543;192;546;202;;10,44030651;;;;;;;
mono;24;m;547;186;549;199;;13,15294644;;;;;;;
mono;24;m;552;181;554;193;;12,16552506;;;;;;;
mono;24;m;557;175;559;186;;11,18033989;;;;;;;
mono;24;m;562;170;565;181;;11,40175425;;;;;;;
mono;24;m;567;165;567;178;;13;;;;;;;
mono;24;m;572;160;575;172;;12,36931688;;;;;;;
mono;24;m;577;155;581;166;;11,70469991;;;;;;;
mono;24;m;583;151;584;163;;12,04159458;;;;;;;
mono;24;m;588;146;590;158;;12,16552506;;;;;;;
mono;24;m;594;142;596;153;;11,18033989;;;;;;;
mono;24;m;600;137;600;151;;14;;;;;;;
mono;24;m;606;133;608;145;;12,16552506;;;;;;;
mono;24;m;612;130;615;139;;9,486832981;;;;;;;
mono;24;m;618;126;622;133;;8,062257748;;;;;;;
mono;24;m;624;122;626;130;;8,246211251;;;;;;;
mono;24;m;631;119;637;123;;7,211102551;;;;;;;
mono;24;m;637;116;646;118;;9,219544457;;;;;;;
mono;24;m;644;113;650;115;;6,32455532;;;;;;;
mono;24;m;651;110;659;110;;8;;;;;;;
mono;24;m;658;107;669;105;;11,18033989;;;;;;;
mono;24;m;665;105;678;101;;13,60147051;;;;;;;
mono;24;m;672;103;682;98;;11,18033989;;;;;;;
mono;24;m;679;101;692;94;;14,76482306;;;;;;;
mono;24;m;686;99;701;91;;17;;;;;;;
mono;24;m;693;97;705;90;;13,89244399;;;;;;;
mono;24;m;700;96;713;88;;15,26433752;;;;;;;
mono;24;m;708;95;721;87;;15,26433752;;;;;;;
mono;24;m;715;93;725;86;;12,20655562;;;;;;;
mono;24;m;722;93;734;85;;14,4222051;;;;;;;
mono;24;m;730;92;741;84;;13,60147051;;;;;;;
mono;24;m;737;91;749;84;;13,89244399;;;;;;;
mono;24;m;745;91;753;84;;10,63014581;;;;;;;
mono;24;m;752;91;762;84;;12,20655562;;;;;;;
mono;24;m;760;91;770;83;;12,80624847;;;;;;;
mono;24;m;767;91;774;83;;10,63014581;;;;;;;
mono;24;m;774;91;784;83;;12,80624847;;;;;;;
mono;24;m;781;91;794;83;;15,26433752;;;;;;;
mono;24;m;788;91;798;83;;12,80624847;;;;;;;
mono;24;m;795;92;806;84;;13,60147051;;;;;;;
mono;24;m;802;92;815;85;;14,76482306;;;;;;;
mono;24;m;808;93;824;86;;17,4642492;;;;;;;
mono;24;m;815;94;828;88;;14,31782106;;;;;;;
mono;24;m;822;95;835;90;;13,92838828;;;;;;;
mono;24;m;829;96;845;92;;16,4924225;;;;;;;
mono;24;m;835;98;849;93;;14,86606875;;;;;;;
mono;24;m;842;99;857;95;;15,5241747;;;;;;;
mono;24;m;849;101;864;98;;15,29705854;;;;;;;
mono;24;m;855;103;868;99;;13,60147051;;;;;;;
mono;24;m;862;106;879;102;;17,4642492;;;;;;;
mono;24;m;868;108;886;104;;18,43908891;;;;;;;
mono;24;m;874;111;894;107;;20,39607805;;;;;;;
