cond;age;gender;dotx;doty;fingerx;fingery;;distance;;;;;;
3d;23;f;676;102;879;121;;203,8872237;;;;;;
3d;23;f;683;100;880;122;;198,2246201;;;;;;
3d;23;f;690;98;881;122;;192,501948;;;no esperienza;;;circolare
3d;23;f;697;96;882;122;;186,8180933;;;;;;
3d;23;f;704;95;883;123;;181,1767093;;;;;;
3d;23;f;749;91;881;123;;135,8234148;;;;;;
3d;23;f;757;91;878;122;;124,9079661;;;;;;
3d;23;f;764;91;874;120;;113,7585162;;;;;;
3d;23;f;771;91;873;120;;106,0424443;;;;;;
3d;23;f;778;91;871;119;;97,12363255;;;;mean distance;;
3d;23;f;785;91;870;117;;88,88756943;;;3d;125,956318;;
3d;23;f;792;91;869;117;;81,27115109;;;mono;279,1373491;;
3d;23;f;799;92;868;116;;73,05477397;;;;;;
3d;23;f;805;93;867;115;;65,78753681;;;;;;
3d;23;f;812;93;866;114;;57,93962375;;;;;;
3d;23;f;819;94;865;113;;49,76946855;;;;;;
3d;23;f;826;96;864;112;;41,23105626;;;;;;
3d;23;f;832;97;863;111;;34,0147027;;;;;;
3d;23;f;839;99;862;110;;25,49509757;;;;;;
3d;23;f;846;101;861;109;;17;;;;;;
3d;23;f;865;107;862;110;;4,242640687;;;;;;
3d;23;f;878;112;863;111;;15,03329638;;;;;;
3d;23;f;884;115;864;113;;20,09975124;;;;;;
3d;23;f;891;119;866;114;;25,49509757;;;;;;
3d;23;f;897;122;867;114;;31,04834939;;;;;;
3d;23;f;903;125;867;115;;37,36308338;;;;;;
3d;23;f;909;129;868;116;;43,01162634;;;;;;
3d;23;f;915;133;872;117;;45,88027899;;;;;;
3d;23;f;921;137;879;121;;44,94441011;;;;;;
3d;23;f;926;141;883;124;;46,23851209;;;;;;
3d;23;f;932;145;894;131;;40,49691346;;;;;;
3d;23;f;937;150;906;138;;33,24154028;;;;;;
3d;23;f;943;155;910;141;;35,84689666;;;;;;
3d;23;f;948;159;918;146;;32,69556545;;;;;;
3d;23;f;953;164;927;151;;29,06888371;;;;;;
3d;23;f;958;170;933;156;;28,65309756;;;;;;
3d;23;f;963;175;938;159;;29,68164416;;;;;;
3d;23;f;968;180;940;161;;33,83784863;;;;;;
3d;23;f;973;186;945;165;;35;;;;;;
3d;23;f;977;191;949;169;;35,60898763;;;;;;
3d;23;f;982;197;954;173;;36,87817783;;;;;;
3d;23;f;986;203;957;175;;40,31128874;;;;;;
3d;23;f;990;209;962;180;;40,31128874;;;;;;
3d;23;f;994;215;967;184;;41,10960958;;;;;;
3d;23;f;998;222;969;187;;45,45327271;;;;;;
3d;23;f;1002;228;973;192;;46,22769733;;;;;;
3d;23;f;1005;235;976;196;;48,60041152;;;;;;
3d;23;f;1009;241;979;200;;50,80354318;;;;;;
3d;23;f;1012;248;980;202;;56,0357029;;;;;;
3d;23;f;1015;255;983;205;;59,36328832;;;;;;
3d;23;f;1018;262;984;207;;64,66065264;;;;;;
3d;23;f;1021;269;986;209;;69,46221995;;;;;;
3d;23;f;1023;276;986;210;;75,66372975;;;;;;
3d;23;f;1026;283;988;213;;79,64923101;;;;;;
3d;23;f;1028;290;989;216;;83,6480723;;;;;;
3d;23;f;1030;297;991;219;;87,20665112;;;;;;
3d;23;f;1032;304;991;220;;93,47192092;;;;;;
3d;23;f;1034;312;993;224;;97,08243919;;;;;;
3d;23;f;1036;319;996;227;;100,3194896;;;;;;
3d;23;f;1037;327;997;230;;104,9237819;;;;;;
3d;23;f;1038;334;998;233;;108,6324077;;;;;;
3d;23;f;1039;342;1000;235;;113,8859078;;;;;;
3d;23;f;1040;349;1001;238;;117,6520293;;;;;;
3d;23;f;1041;357;1003;242;;121,1156472;;;;;;
3d;23;f;1041;364;1004;244;;125,574679;;;;;;
3d;23;f;1041;371;1006;249;;126,9212354;;;;;;
3d;23;f;1041;378;1008;255;;127,3499117;;;;;;
3d;23;f;1040;385;1011;261;;127,3459854;;;;;;
3d;23;f;1039;392;1012;264;;130,8166656;;;;;;
3d;23;f;1038;399;1015;270;;131,0343466;;;;;;
3d;23;f;1036;405;1018;278;;128,2692481;;;;;;
3d;23;f;1035;412;1019;281;;131,9734822;;;;;;
3d;23;f;1033;419;1022;290;;129,4681428;;;;;;
3d;23;f;1031;426;1024;296;;130,1883251;;;;;;
3d;23;f;1029;432;1025;303;;129,0620006;;;;;;
3d;23;f;1027;439;1026;312;;127,0039369;;;;;;
3d;23;f;1025;446;1028;317;;129,034879;;;;;;
3d;23;f;1022;452;1029;323;;129,1897829;;;;;;
3d;23;f;1020;459;1029;330;;129,3135724;;;;;;
3d;23;f;1017;465;1029;334;;131,5484702;;;;;;
3d;23;f;1014;472;1029;342;;130,8625233;;;;;;
3d;23;f;1011;478;1029;350;;129,2594291;;;;;;
3d;23;f;1007;484;1029;356;;129,8768648;;;;;;
3d;23;f;1004;491;1029;360;;133,3641631;;;;;;
3d;23;f;1000;497;1028;368;;132,0037878;;;;;;
3d;23;f;996;503;1028;377;;130;;;;;;
3d;23;f;993;509;1026;385;;128,3160161;;;;;;
3d;23;f;989;515;1024;393;;126,9212354;;;;;;
3d;23;f;984;520;1023;398;;128,082005;;;;;;
3d;23;f;980;526;1019;409;;123,3288287;;;;;;
3d;23;f;975;532;1016;421;;118,3300469;;;;;;
3d;23;f;971;537;1014;428;;117,1750827;;;;;;
3d;23;f;966;543;1010;442;;110,1680534;;;;;;
3d;23;f;961;548;1006;453;;105,1189802;;;;;;
3d;23;f;956;553;1001;466;;97,9489663;;;;;;
3d;23;f;951;558;999;472;;98,48857802;;;;;;
3d;23;f;946;563;994;481;;95,01578816;;;;;;
3d;23;f;941;568;987;491;;89,69392399;;;;;;
3d;23;f;935;573;981;502;;84,59905437;;;;;;
3d;23;f;930;577;975;510;;80,7093551;;;;;;
3d;23;f;924;582;972;515;;82,41965785;;;;;;
3d;23;f;918;586;963;526;;75;;;;;;
3d;23;f;912;590;954;538;;66,84309987;;;;;;
3d;23;f;906;594;950;543;;67,35725648;;;;;;
3d;23;f;900;598;943;551;;63,70243323;;;;;;
3d;23;f;894;602;935;558;;60,14149982;;;;;;
3d;23;f;888;605;929;563;;58,69412236;;;;;;
3d;23;f;882;609;925;565;;61,52235366;;;;;;
3d;23;f;875;612;920;569;;62,24146528;;;;;;
3d;23;f;869;615;915;573;;62,28964601;;;;;;
3d;23;f;863;618;908;577;;60,87692502;;;;;;
