order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
B;2i36s-0-trial2;25;male;guitarra canto flauta;437.84;539.00;775.42;91.66;757.61;641.37;519.21;491.41;994.92;506.47;1668698855234;1668698855232;1668698854403
B;2i36s-0-trial2;25;male;guitarra canto flauta;438.82;539.14;775.42;91.66;757.61;641.37;519.21;491.41;994.92;506.47;1668698855235;1668698855235;1668698854407
B;2i36s-0-trial2;25;male;guitarra canto flauta;440.76;539.97;775.42;91.66;757.61;641.37;519.21;491.41;994.92;506.47;1668698855242;1668698855241;1668698854411
B;2i36s-0-trial2;25;male;guitarra canto flauta;450.95;541.56;783.00;91.62;749.20;640.58;515.72;484.48;990.46;513.08;1668698855248;1668698855246;1668698854415
B;2i36s-0-trial2;25;male;guitarra canto flauta;475.35;547.83;783.00;91.62;749.20;640.58;515.72;484.48;990.46;513.08;1668698855255;1668698855254;1668698854423
B;2i36s-0-trial2;25;male;guitarra canto flauta;497.71;559.31;783.00;91.62;749.20;640.58;515.72;484.48;990.46;513.08;1668698855258;1668698855257;1668698854427
B;2i36s-0-trial2;25;male;guitarra canto flauta;522.02;563.37;783.00;91.62;749.20;640.58;515.72;484.48;990.46;513.08;1668698855259;1668698855258;1668698854431
B;2i36s-0-trial2;25;male;guitarra canto flauta;534.50;572.22;790.48;91.82;740.92;639.58;512.50;477.56;985.89;519.49;1668698855265;1668698855264;1668698854435
B;2i36s-0-trial2;25;male;guitarra canto flauta;550.93;577.35;790.48;91.82;740.92;639.58;512.50;477.56;985.89;519.49;1668698855269;1668698855268;1668698854443
B;2i36s-0-trial2;25;male;guitarra canto flauta;558.61;580.16;790.48;91.82;740.92;639.58;512.50;477.56;985.89;519.49;1668698855275;1668698855274;1668698854447
B;2i36s-0-trial2;25;male;guitarra canto flauta;561.55;583.17;790.48;91.82;740.92;639.58;512.50;477.56;985.89;519.49;1668698855279;1668698855278;1668698854451
B;2i36s-0-trial2;25;male;guitarra canto flauta;560.88;585.47;798.05;92.27;732.57;638.36;509.47;470.47;981.09;525.87;1668698855284;1668698855284;1668698854455
B;2i36s-0-trial2;25;male;guitarra canto flauta;558.03;587.20;798.05;92.27;732.57;638.36;509.47;470.47;981.09;525.87;1668698855289;1668698855289;1668698854463
B;2i36s-0-trial2;25;male;guitarra canto flauta;558.69;587.01;805.65;92.97;724.23;636.91;506.65;463.27;976.09;532.15;1668698855297;1668698855297;1668698854467
B;2i36s-0-trial2;25;male;guitarra canto flauta;560.70;587.58;805.65;92.97;724.23;636.91;506.65;463.27;976.09;532.15;1668698855299;1668698855298;1668698854471
